game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2021-10-23_uc_santa_barbara_westcliff,Westcliff,4-13,0-2,2-3,2-12,0-1,2-2,1-18,0-7,1-2,5-11,0-2,8-10,,,,12-54,0-12,13-17,0,6,0,10,5,0,4,12
2021-10-23_uc_santa_barbara_westcliff,UC Santa Barbara,10-22,2-8,3-4,8-18,2-7,2-2,7-16,2-8,4-4,7-20,2-8,2-2,,,,32-76,8-31,11-12,0,14,0,42,13,0,25,51
2021-11-01_uc_santa_barbara_whittier,Whittier,3-12,2-4,0-0,4-14,2-5,0-0,2-15,0-4,1-2,1-10,0-2,5-6,,,,10-51,4-15,6-8,0,5,3,8,2,2,7,8
2021-11-01_uc_santa_barbara_whittier,UC Santa Barbara,2-13,1-8,4-6,10-19,1-4,5-7,8-13,1-4,8-15,5-12,0-3,1-2,,,,25-57,3-19,18-30,0,16,3,42,17,2,27,28
2021-11-03_hawaii_hawaii_pacific,Hawaii Pacific,4-19,3-13,5-5,9-16,5-7,5-7,5-13,3-5,3-5,6-13,3-7,1-2,,,,24-61,14-32,14-19,0,9,9,18,18,13,12,9
2021-11-03_hawaii_hawaii_pacific,Hawaii,4-11,1-3,15-16,4-11,0-3,6-8,8-15,1-4,9-11,7-14,1-6,7-9,,,,23-51,3-16,37-44,0,19,9,40,23,13,15,28
2021-11-09_uc_davis_academy_of_art,Academy of Art,6-20,2-7,0-0,5-16,1-8,1-2,5-15,0-3,5-8,4-17,2-9,0-2,,,,20-68,5-27,6-12,0,4,0,18,11,0,12,24
2021-11-09_uc_davis_academy_of_art,UC Davis,7-13,1-4,0-0,5-17,2-6,8-9,7-16,1-4,0-0,6-11,2-3,5-7,,,,25-57,6-17,13-16,0,4,0,34,5,0,10,21
2021-11-09_san_diego_hawaii,Hawaii,4-12,0-3,1-4,2-8,0-2,5-7,4-11,0-2,6-11,6-13,2-3,7-8,,,,16-44,2-10,19-30,0,9,0,24,12,0,13,5
2021-11-09_san_diego_hawaii,San Diego,8-16,2-5,1-2,10-20,3-7,2-2,6-14,1-3,2-3,10-16,3-4,4-7,,,,34-66,9-19,9-14,0,11,0,38,16,0,47,43
2021-11-09_uc_irvine_westcliff,Westcliff,4-17,1-4,2-3,8-22,1-5,2-2,4-17,1-1,0-0,6-17,0-5,2-2,,,,22-73,3-15,6-7,0,11,0,20,6,0,12,10
2021-11-09_uc_irvine_westcliff,UC Irvine,13-22,5-9,1-1,9-20,5-7,3-7,10-17,1-3,4-8,11-17,2-4,7-9,,,,43-76,13-23,15-25,0,19,0,60,25,0,26,66
2021-11-09_uc_santa_barbara_loyola_marymount,Loyola Marymount,6-19,1-9,1-1,4-8,0-2,1-2,10-14,3-6,0-0,6-13,0-3,0-2,,,,26-54,4-20,2-5,0,5,3,28,0,12,13,8
2021-11-09_uc_santa_barbara_loyola_marymount,UC Santa Barbara,5-13,0-4,2-2,5-16,0-4,5-7,8-15,2-6,2-2,5-15,3-9,1-2,,,,23-59,5-23,10-13,0,5,3,24,3,12,22,25
2021-11-09_long_beach_st_biola,Biola,7-15,2-5,0-0,5-13,0-2,1-1,5-13,0-5,6-6,8-15,2-4,0-0,,,,25-56,4-16,7-7,0,6,2,34,4,0,9,9
