game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2024-10-27_hawaii_hilo_hawaii,Hawaii,14,"Rewers, Brooklyn",True,12,4,5,0.8,1,1,1.0,4,4,1.0,1,3,4,0,0,2,0,0,13
2024-10-27_hawaii_hilo_hawaii,Hawaii,03,"Wahinekapu, Lily",True,20,5,9,0.556,1,4,0.25,0,1,0.0,1,1,2,1,3,0,0,3,11
2024-10-27_hawaii_hilo_hawaii,Hawaii,01,"Imai, Kelsie",True,22,3,9,0.333,0,2,0.0,2,2,1.0,1,1,2,3,3,0,1,2,8
2024-10-27_hawaii_hilo_hawaii,Hawaii,15,"Phillips, Daejah",True,19,2,5,0.4,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,0,6
2024-10-27_hawaii_hilo_hawaii,Hawaii,23,"McBee, MeiLani",True,16,0,2,0.0,0,2,0.0,0,0,,0,4,4,2,0,2,0,0,0
2024-10-27_hawaii_hilo_hawaii,Hawaii,24,"Tamilo, Ritorya",False,15,4,4,1.0,0,0,,3,5,0.6,2,5,7,3,1,4,2,0,11
2024-10-27_hawaii_hilo_hawaii,Hawaii,04,"Lefotu, Jovi",False,16,2,8,0.25,1,2,0.5,1,1,1.0,1,2,3,1,0,0,0,2,6
2024-10-27_hawaii_hilo_hawaii,Hawaii,22,"Peacock, Jade",False,14,2,5,0.4,2,5,0.4,0,0,,1,2,3,0,1,1,0,1,6
2024-10-27_hawaii_hilo_hawaii,Hawaii,08,"Moors, Rebecca",False,15,1,3,0.333,0,1,0.0,2,2,1.0,1,1,2,1,3,2,0,0,4
2024-10-27_hawaii_hilo_hawaii,Hawaii,02,"'Uhila, Mia",False,19,1,3,0.333,0,2,0.0,0,0,,0,3,3,0,2,1,0,2,2
2024-10-27_hawaii_hilo_hawaii,Hawaii,12,"Perez, Imani",False,16,1,3,0.333,0,1,0.0,0,0,,4,5,9,2,0,2,0,0,2
2024-10-27_hawaii_hilo_hawaii,Hawaii,11,"Filemu, Kira-May",False,9,0,2,0.0,0,1,0.0,0,0,,0,1,1,3,1,1,0,0,0
2024-10-27_hawaii_hilo_hawaii,Hawaii,10,"Kujovic, Danijela",False,7,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,0,0
2024-10-27_hawaii_hilo_hawaii,Hawaii,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,03,"Cruz, Kaile",True,29,3,10,0.3,2,5,0.4,6,6,1.0,0,4,4,2,2,3,0,0,14
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,33,"Kaupu, Caiyle",True,27,5,16,0.312,0,3,0.0,3,3,1.0,3,4,7,3,1,3,0,0,13
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,21,"Sua-Godinet, Noelle",True,31,2,3,0.667,0,0,,2,3,0.667,1,3,4,4,1,0,0,1,6
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,11,"Kawaha, Mindy",True,30,1,5,0.2,1,4,0.25,1,2,0.5,0,3,3,2,1,4,0,2,4
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,10,"Agonias, Keirstyn",True,13,1,5,0.2,0,1,0.0,0,0,,0,1,1,2,0,1,0,1,2
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,04,"Hiu, Melanie",False,25,2,3,0.667,2,3,0.667,0,0,,0,1,1,2,1,1,1,0,6
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,23,"Oda, Kendall",False,21,1,1,1.0,1,1,1.0,0,0,,0,2,2,1,0,1,0,0,3
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,20,"Huihui, KeanuMarie",False,22,1,6,0.167,0,5,0.0,0,2,0.0,1,2,3,4,2,4,0,0,2
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,02,"Wade, Kylie",False,2,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,3,3,0,0,2,0,0,0
2024-10-30_cal_poly_sonoma_st,Sonoma St.,20,"Clark, Madisyn",True,29,6,12,0.5,0,4,0.0,3,4,0.75,0,4,4,2,0,2,1,2,15
2024-10-30_cal_poly_sonoma_st,Sonoma St.,12,"Blackard, Jayme",True,29,3,10,0.3,0,3,0.0,1,6,0.167,0,0,0,1,0,3,0,1,7
2024-10-30_cal_poly_sonoma_st,Sonoma St.,7,"Harrison, Corrie",True,19,3,7,0.429,0,0,,0,0,,3,1,4,2,0,2,0,2,6
2024-10-30_cal_poly_sonoma_st,Sonoma St.,4,"Arikat, Sheriene",True,21,1,4,0.25,0,1,0.0,1,2,0.5,1,2,3,3,0,2,0,1,3
2024-10-30_cal_poly_sonoma_st,Sonoma St.,5,"Cherwinski, Sienna",True,17,1,4,0.25,1,3,0.333,0,0,,1,2,3,2,0,1,0,2,3
2024-10-30_cal_poly_sonoma_st,Sonoma St.,22,"Pentzer, Paige",False,19,2,7,0.286,1,2,0.5,1,2,0.5,2,2,4,0,0,0,1,0,6
2024-10-30_cal_poly_sonoma_st,Sonoma St.,23,"Gardner, Eryn",False,22,0,2,0.0,0,0,,2,4,0.5,1,3,4,2,0,1,0,1,2
2024-10-30_cal_poly_sonoma_st,Sonoma St.,10,"Moreno, Jennifer",False,12,0,2,0.0,0,0,,2,2,1.0,0,1,1,2,1,1,0,0,2
2024-10-30_cal_poly_sonoma_st,Sonoma St.,00,"Lopez, Alysa",False,16,0,2,0.0,0,1,0.0,1,2,0.5,1,1,2,2,0,2,0,1,1
2024-10-30_cal_poly_sonoma_st,Sonoma St.,43,"Hopkins, Genesis",False,6,0,1,0.0,0,0,,1,2,0.5,1,0,1,0,0,1,0,1,1
2024-10-30_cal_poly_sonoma_st,Sonoma St.,11,"Gilbertson, Meredith",False,5,0,0,,0,0,,0,0,,0,1,1,1,0,2,0,0,0
2024-10-30_cal_poly_sonoma_st,Sonoma St.,1,"Rojo, Ixchel",False,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2024-10-30_cal_poly_sonoma_st,Sonoma St.,21,"Smith, Laura",False,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2024-10-30_cal_poly_sonoma_st,Sonoma St.,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,1,4,0,0,1,0,0,0
2024-10-30_cal_poly_sonoma_st,Cal Poly,4,"Lichtie, Sierra",True,27,7,12,0.583,1,1,1.0,2,3,0.667,2,9,11,3,1,2,1,1,17
2024-10-30_cal_poly_sonoma_st,Cal Poly,2,"Shah, Annika",True,27,4,11,0.364,4,9,0.444,0,0,,1,2,3,1,3,2,0,0,12
2024-10-30_cal_poly_sonoma_st,Cal Poly,15,"Bourland, Sydney",True,27,3,6,0.5,0,0,,0,0,,0,1,1,2,3,2,1,1,6
2024-10-30_cal_poly_sonoma_st,Cal Poly,24,"Carter, Mary",True,26,2,6,0.333,1,2,0.5,0,0,,2,1,3,1,0,3,0,1,5
2024-10-30_cal_poly_sonoma_st,Cal Poly,10,"Richards, Sidney",True,28,1,4,0.25,0,0,,1,2,0.5,2,3,5,1,2,4,0,4,3
2024-10-30_cal_poly_sonoma_st,Cal Poly,5,"Robinson, Gabby",False,16,3,5,0.6,0,1,0.0,0,0,,0,1,1,4,0,0,0,1,6
2024-10-30_cal_poly_sonoma_st,Cal Poly,23,"Moleón Hidalgo, Ana",False,6,1,1,1.0,0,0,,1,2,0.5,0,0,0,1,0,1,0,0,3
