game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2024-10-27_hawaii_hilo_hawaii,Hawaii,3-13,2-6,0-0,8-14,1-5,4-5,5-15,1-7,3-4,9-16,1-4,7-8,,,,,,,25-58,5-22,14-17,1,12,1,32,9,1,21,31
2024-10-27_hawaii_hilo_hawaii,Hawaii Hilo,2-13,0-6,3-4,1-11,0-4,0-2,7-11,2-3,7-8,6-15,4-9,2-2,,,,,,,16-50,6-22,12-16,0,6,1,14,3,1,4,11
2024-10-30_cal_poly_sonoma_st,Sonoma St.,6-13,0-0,0-0,7-14,0-5,2-8,2-14,1-7,1-2,1-10,1-2,9-14,,,,,,,16-51,2-14,12-24,0,8,5,28,5,9,18,12
2024-10-30_cal_poly_sonoma_st,Cal Poly,5-13,1-4,0-2,6-12,2-3,2-3,6-14,2-4,1-2,6-11,1-2,2-4,,,,,,,23-50,6-13,5-11,0,3,5,30,0,9,18,14
2024-11-02_hawaii_chaminade,Chaminade,2-13,0-4,0-1,3-7,1-4,2-6,1-9,0-4,6-8,4-12,1-6,1-2,,,,,,,10-41,2-18,9-17,0,4,1,14,5,1,4,19
2024-11-02_hawaii_chaminade,Hawaii,7-17,2-9,4-4,5-15,0-6,5-6,7-15,0-4,4-5,9-16,2-6,0-0,,,,,,,28-63,4-25,13-15,0,12,1,46,11,1,29,53
2024-11-04_uc_davis_simpson_ca,Simpson (CA),2-16,0-5,0-2,3-13,0-2,3-4,3-14,0-2,3-5,4-10,1-1,5-6,,,,,,,12-53,1-10,11-17,0,7,0,22,1,0,2,9
2024-11-04_uc_davis_simpson_ca,UC Davis,8-20,5-10,5-8,10-19,3-7,0-0,7-17,3-6,1-2,9-16,4-11,4-6,,,,,,,34-72,15-34,10-16,0,10,0,36,31,0,33,42
2024-11-04_uc_irvine_new_mexico_st,New Mexico St.,7-15,0-2,0-0,5-12,1-5,5-6,3-11,2-3,4-4,5-11,1-3,4-4,,,,,,,20-49,4-13,13-14,0,6,3,26,6,3,13,5
2024-11-04_uc_irvine_new_mexico_st,UC Irvine,6-16,1-4,2-4,2-9,0-1,0-0,5-13,4-4,2-4,3-13,0-3,8-10,,,,,,,16-51,5-12,12-18,0,10,3,18,5,3,12,23
2024-11-04_uc_san_diego_occidental,Occidental,6-13,1-3,1-2,5-14,2-4,0-0,5-12,1-4,7-8,2-14,1-3,2-2,,,,,,,18-53,5-14,10-12,0,4,3,20,7,4,7,5
2024-11-04_uc_san_diego_occidental,UC San Diego,7-22,2-6,0-0,13-20,4-10,5-5,7-15,1-5,2-4,8-19,1-7,1-2,,,,,,,35-76,8-28,8-11,0,11,3,54,27,4,31,34
2024-11-04_csun_la_sierra,La Sierra,10-17,2-4,3-4,6-15,2-7,0-0,2-15,1-6,0-0,5-19,0-7,2-2,,,,,,,23-66,5-24,5-6,0,4,4,30,8,3,14,27
2024-11-04_csun_la_sierra,CSUN,5-24,3-10,2-2,5-18,0-8,3-3,7-17,4-8,3-4,7-15,3-9,4-5,,,,,,,24-74,10-35,12-14,0,9,4,28,25,3,28,26
2024-11-04_pepperdine_cal_st_fullerton,Cal St. Fullerton,4-15,0-4,2-2,8-20,1-5,0-1,6-14,2-3,5-12,5-14,0-0,1-3,,,,,,,23-63,3-12,8-18,0,13,7,30,6,5,8,15
2024-11-04_pepperdine_cal_st_fullerton,Pepperdine,4-11,0-2,0-0,3-10,1-5,5-6,7-13,2-3,4-5,8-13,1-2,2-3,,,,,,,22-47,4-12,11-14,0,7,7,34,8,5,15,28
2024-11-04_grand_canyon_csu_bakersfield,CSU Bakersfield,5-13,0-5,0-0,4-11,0-4,0-0,5-14,0-3,7-10,7-16,0-5,3-8,,,,,,,21-54,0-17,10-18,0,9,0,42,6,4,10,24
2024-11-04_grand_canyon_csu_bakersfield,Grand Canyon,6-15,3-6,3-4,9-17,6-11,3-6,6-14,1-2,7-11,9-17,4-7,6-6,,,,,,,30-63,14-26,19-27,0,10,0,26,10,4,25,49
2024-11-04_santa_clara_uc_riverside,UC Riverside,5-18,0-3,1-1,5-15,3-6,1-2,6-11,0-3,2-2,8-11,2-3,3-4,,,,,,,24-55,5-15,7-9,0,10,2,32,7,5,27,27
2024-11-04_santa_clara_uc_riverside,Santa Clara,7-12,3-5,2-2,5-13,0-4,5-6,8-13,1-2,3-4,7-12,3-5,2-2,,,,,,,27-50,7-16,12-14,0,9,2,38,2,5,16,13
2024-11-06_uc_santa_barbara_claremont_m_s,Claremont-M-S,4-12,4-9,0-0,1-14,0-2,0-0,1-13,0-4,0-0,3-11,0-5,4-8,,,,,,,9-50,4-20,4-8,0,0,1,2,0,1,7,4
2024-11-06_uc_santa_barbara_claremont_m_s,UC Santa Barbara,7-12,1-3,2-2,8-18,3-9,1-3,6-15,2-5,0-0,6-15,1-7,6-6,,,,,,,27-60,7-24,9-11,0,2,1,32,2,1,22,35
2024-11-06_cal_poly_uc_merced,UC Merced,4-18,2-6,1-1,6-16,0-5,1-2,2-14,0-7,1-2,2-8,1-2,6-7,,,,,,,14-56,3-20,9-12,0,5,0,12,6,0,3,9
2024-11-06_cal_poly_uc_merced,Cal Poly,12-22,2-5,0-0,8-16,2-8,0-0,4-15,1-4,2-2,7-18,1-7,2-4,,,,,,,31-71,6-24,4-6,0,18,0,44,13,0,31,27
2024-11-06_long_beach_st_cal_state_la,Cal State LA,10-25,2-8,2-2,4-19,2-6,2-2,3-22,0-10,2-2,9-19,1-2,4-6,,,,,,,26-85,5-26,10-12,0,11,11,28,4,10,14,36
2024-11-06_long_beach_st_cal_state_la,Long Beach St.,7-22,2-7,6-8,7-24,1-7,2-2,6-17,0-3,9-9,4-9,0-1,9-15,,,,,,,24-72,3-18,26-34,1,21,11,36,2,10,13,19
2024-11-07_portland_hawaii,Hawaii,4-9,2-4,0-0,5-11,1-3,9-9,5-12,1-3,2-2,4-9,0-2,14-14,,,,,,,18-41,4-12,25-25,0,6,0,26,9,1,22,40
2024-11-07_portland_hawaii,Portland,6-17,5-9,1-2,8-12,2-5,4-6,7-14,1-4,8-8,4-7,2-3,3-4,,,,,,,25-50,10-21,16-20,0,11,0,26,12,1,27,28
2024-11-07_uc_irvine_pepperdine,Pepperdine,6-16,2-8,1-1,1-7,1-5,12-14,3-10,1-4,1-2,7-15,0-7,4-6,,,,,,,17-48,4-24,18-23,0,7,8,24,5,7,8,18
2024-11-07_uc_irvine_pepperdine,UC Irvine,7-18,2-4,6-7,3-8,0-3,0-2,9-16,4-8,2-2,1-10,0-3,11-12,,,,,,,20-52,6-18,19-23,0,11,8,20,6,7,19,28
2024-11-07_sacramento_st_uc_san_diego,UC San Diego,8-18,1-2,0-0,2-8,0-2,6-9,5-11,0-3,9-11,4-11,1-3,5-8,,,,,,,19-48,2-10,20-28,0,3,3,26,10,5,17,16
2024-11-07_sacramento_st_uc_san_diego,Sacramento St.,6-14,3-7,1-2,7-13,3-6,4-5,2-10,0-5,10-14,4-11,2-7,10-14,,,,,,,19-48,8-25,25-35,0,14,3,18,11,5,22,30
2024-11-08_uc_davis_san_diego_st,San Diego St.,6-12,0-1,4-6,7-16,1-3,2-3,5-12,2-4,5-7,7-14,0-2,3-3,1-4,0-0,14-16,,,,26-58,3-10,28-35,0,11,5,34,4,9,17,34
2024-11-08_uc_davis_san_diego_st,UC Davis,4-8,1-2,5-10,5-12,2-7,2-4,6-12,0-4,3-5,8-16,2-8,6-10,4-9,1-4,1-2,,,,27-57,6-25,17-31,0,10,5,40,8,9,11,10
2024-11-08_utah_st_csun,CSUN,4-16,1-9,3-4,4-14,0-4,7-10,6-12,3-6,3-4,7-15,1-4,9-12,,,,,,,21-57,5-23,22-30,0,5,6,32,13,9,15,37
2024-11-08_utah_st_csun,Utah St.,4-21,4-14,4-6,4-19,2-14,0-2,5-20,3-12,6-8,8-20,2-7,2-3,,,,,,,21-80,11-47,12-19,0,9,6,20,10,9,17,33
2024-11-08_fordham_cal_st_fullerton,Cal St. Fullerton,3-11,0-0,1-2,5-16,3-5,2-2,6-13,0-1,3-5,4-18,1-6,5-7,,,,,,,18-58,4-12,11-16,0,9,3,12,15,0,12,13
2024-11-08_fordham_cal_st_fullerton,Fordham,6-16,1-3,1-3,7-19,2-8,0-4,9-15,0-3,1-1,3-12,0-1,11-16,,,,,,,25-62,3-15,13-24,0,9,3,42,21,0,19,25
2024-11-08_csu_bakersfield_colgate,Colgate,8-14,5-6,1-2,2-17,0-7,2-2,10-18,3-5,3-3,6-17,2-6,3-4,,,,,,,26-66,10-24,9-11,0,8,2,24,5,1,25,20
2024-11-08_csu_bakersfield_colgate,CSU Bakersfield,6-14,1-3,0-0,2-11,0-2,1-2,4-8,1-4,4-6,4-16,2-7,1-4,,,,,,,16-49,4-16,6-12,0,6,2,22,2,1,8,14
2024-11-08_uc_riverside_whittier,Whittier,1-9,1-5,5-6,5-15,1-6,1-2,4-11,2-3,0-0,4-12,2-5,5-5,,,,,,,14-47,6-19,11-13,0,5,0,8,3,0,16,11
2024-11-08_uc_riverside_whittier,UC Riverside,7-20,1-7,2-2,7-15,4-11,2-2,9-15,3-6,4-6,9-19,4-9,0-0,,,,,,,32-69,12-33,8-10,0,14,0,24,4,0,23,35
2024-11-09_portland_st_hawaii,Hawaii,9-12,1-3,0-0,5-14,3-8,1-4,8-16,4-8,4-4,5-14,2-7,3-6,,,,,,,27-56,10-26,8-14,0,12,2,34,13,4,12,42
2024-11-09_portland_st_hawaii,Portland St.,7-14,4-6,2-2,2-10,0-5,2-4,1-10,0-4,7-10,5-18,3-10,2-3,,,,,,,15-52,7-25,13-19,0,5,2,12,2,4,15,21
2024-11-09_san_francisco_uc_santa_barbara,UC Santa Barbara,4-14,1-2,3-4,1-14,0-10,2-2,5-13,2-6,5-6,1-12,0-4,2-2,,,,,,,11-53,3-22,12-14,0,1,2,14,2,2,6,3
2024-11-09_san_francisco_uc_santa_barbara,San Francisco,3-12,3-7,4-4,4-14,0-5,1-2,5-12,1-6,8-12,7-16,2-6,2-4,,,,,,,19-54,6-24,15-22,0,14,2,20,8,2,23,23
2024-11-09_southern_california_cal_poly,Cal Poly,3-11,0-5,0-0,4-15,1-2,2-2,5-13,0-2,0-0,4-10,0-1,0-2,,,,,,,16-49,1-10,2-4,0,4,0,22,2,0,4,6
2024-11-09_southern_california_cal_poly,Southern California,14-22,2-6,10-13,6-21,1-8,4-4,7-21,1-10,1-1,7-12,2-4,1-2,,,,,,,34-76,6-28,16-20,0,13,0,54,23,0,35,35
2024-11-09_long_beach_st_william_mary,William & Mary,9-20,2-7,1-2,5-19,1-6,5-5,6-23,2-9,1-2,5-15,2-8,1-2,,,,,,,25-77,7-30,8-11,0,21,6,20,0,10,11,23
2024-11-09_long_beach_st_william_mary,Long Beach St.,5-19,0-3,3-3,7-15,3-5,4-7,5-11,1-4,3-4,9-20,1-4,0-0,,,,,,,26-65,5-16,10-14,0,15,6,40,21,10,16,26
2024-11-10_uc_san_diego_arizona,Arizona,7-19,1-3,6-8,4-13,1-5,1-1,8-13,3-7,4-6,5-12,0-3,1-2,,,,,,,24-57,5-18,12-17,1,9,2,34,14,4,24,23
