game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,ot3_fg,ot3_3p,ot3_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-10-21_hawaii_chaminade,Chaminade,1-12,0-8,0-0,3-12,0-5,2-4,5-12,3-5,0-0,4-15,1-7,1-1,,,,,,,,,,13-51,4-25,3-5,0,4,0,14,5,0,9,9
2025-10-21_hawaii_chaminade,Hawaii,9-17,5-9,1-2,11-19,1-6,4-4,6-17,2-7,0-2,9-19,3-9,4-4,,,,,,,,,,35-72,11-31,9-12,0,16,0,44,26,0,29,40
2025-10-28_hawaii_hawaii_pacific,Hawaii Pacific,2-9,2-6,0-0,4-14,1-5,0-0,3-11,3-7,0-0,3-14,2-7,2-6,,,,,,,,,,12-48,8-25,2-6,0,3,0,6,0,2,15,10
2025-10-28_hawaii_hawaii_pacific,Hawaii,8-14,1-6,0-2,7-13,1-4,1-3,9-13,1-3,4-5,8-14,2-3,0-0,,,,,,,,,,32-54,5-16,5-10,0,8,0,54,19,2,35,24
2025-10-30_cal_poly_simpson_ca,Simpson (CA),4-9,1-2,2-4,1-8,0-2,10-14,1-14,1-5,6-8,3-9,0-1,4-9,,,,,,,,,,9-40,2-10,22-35,0,0,0,8,7,1,10,13
2025-10-30_cal_poly_simpson_ca,Cal Poly,6-14,2-8,10-11,11-21,6-14,2-3,14-24,4-9,1-3,8-15,2-5,2-3,,,,,,,,,,39-74,14-36,15-20,0,19,0,50,11,1,34,59
2025-11-01_long_beach_st_point_loma,Point Loma,6-16,0-6,0-0,9-15,2-3,2-6,8-20,2-7,0-0,7-12,1-3,7-12,,,,,,,,,,30-63,5-19,9-18,0,8,5,46,14,12,15,8
2025-11-01_long_beach_st_point_loma,Long Beach St.,6-16,1-4,1-1,6-18,0-3,3-6,10-15,2-3,1-2,7-14,2-6,3-6,,,,,,,,,,29-63,5-16,8-15,0,5,5,44,4,12,6,9
2025-11-03_uc_davis_jessup,Jessup,3-15,2-6,3-4,2-14,1-4,4-8,3-15,0-5,2-3,2-16,0-3,3-6,,,,,,,,,,10-60,3-18,12-21,0,9,0,12,2,3,3,12
2025-11-03_uc_davis_jessup,UC Davis,8-14,1-4,2-2,8-20,1-7,3-3,6-16,4-11,2-4,6-19,3-12,0-0,,,,,,,,,,28-69,9-34,7-9,0,20,0,38,2,3,4,18
