game_id,period,time_remaining,team,player,play,away_score,home_score
2025-11-05_lmu_ca_utah_valley,1,09:41,Utah Valley,"NELSON,HALLE","FOUL by NELSON,HALLE",,
2025-11-05_lmu_ca_utah_valley,1,09:41,LMU (CA),"HERNANDEZ,MAYA","GOOD FT by HERNANDEZ,MAYA",0,1
2025-11-05_lmu_ca_utah_valley,1,09:41,LMU (CA),"HERNANDEZ,MAYA","MISS FT by HERNANDEZ,MAYA",,
2025-11-05_lmu_ca_utah_valley,1,--,Utah Valley,"NELSON,HALLE","REBOUND DEF by NELSON,HALLE",,
2025-11-05_lmu_ca_utah_valley,1,09:24,Utah Valley,"BARCELLO,AMANDA","MISS JUMPER by BARCELLO,AMANDA",,
2025-11-05_lmu_ca_utah_valley,1,--,LMU (CA),"KRAJINA,IVANA","REBOUND DEF by KRAJINA,IVANA",,
2025-11-05_lmu_ca_utah_valley,1,09:17,LMU (CA),"LAWSON,JESS","TURNOVER by LAWSON,JESS",,
2025-11-05_lmu_ca_utah_valley,1,09:03,Utah Valley,"CHANEY,TESSA","GOOD JUMPER by CHANEY,TESSA(in the paint)",2,1
2025-11-05_lmu_ca_utah_valley,1,--,Utah Valley,"NELSON,HALLE","ASSIST by NELSON,HALLE",,
2025-11-05_lmu_ca_utah_valley,1,08:39,LMU (CA),"HEIDGER,CARLY","TURNOVER by HEIDGER,CARLY",,
2025-11-05_lmu_ca_utah_valley,1,08:27,Utah Valley,"NELSON,HALLE","MISS LAYUP by NELSON,HALLE(in the paint)",,
2025-11-05_lmu_ca_utah_valley,1,--,LMU (CA),"KRAJINA,IVANA","REBOUND DEF by KRAJINA,IVANA",,
2025-11-05_lmu_ca_utah_valley,1,08:04,LMU (CA),"MATIC,ANDJELA","MISS 3PTR by MATIC,ANDJELA",,
2025-11-05_lmu_ca_utah_valley,1,--,LMU (CA),"LAWSON,JESS","REBOUND OFF by LAWSON,JESS",,
2025-11-05_lmu_ca_utah_valley,1,07:54,LMU (CA),"KRAJINA,IVANA","GOOD 3PTR by KRAJINA,IVANA",2,4
2025-11-05_lmu_ca_utah_valley,1,--,LMU (CA),"MATIC,ANDJELA","ASSIST by MATIC,ANDJELA",,
2025-11-05_lmu_ca_utah_valley,1,07:41,Utah Valley,"BLACKHAM,CAMBREE","MISS 3PTR by BLACKHAM,CAMBREE",,
2025-11-05_lmu_ca_utah_valley,1,--,LMU (CA),"HERNANDEZ,MAYA","REBOUND DEF by HERNANDEZ,MAYA",,
2025-11-05_lmu_ca_utah_valley,1,07:22,LMU (CA),"HERNANDEZ,MAYA","GOOD LAYUP by HERNANDEZ,MAYA(in the paint)",2,6
