game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-05_lmu_ca_utah_valley,Utah Valley,4-13,1-4,3-4,8-15,2-6,1-3,9-18,2-5,0-0,4-12,2-4,3-6,,,,,,,25-58,7-19,7-13,0,3,6,36,4,7,22,13
2025-11-05_lmu_ca_utah_valley,LMU (CA),7-13,2-6,1-2,4-11,0-3,1-2,9-15,4-5,4-5,2-11,0-4,4-6,,,,,,,22-50,6-18,10-15,0,7,6,24,4,7,14,10
2025-11-09_lmu_ca_denver,Denver,3-15,0-5,2-2,4-10,0-2,4-5,6-15,5-7,1-2,8-14,0-3,3-4,,,,,,,21-54,5-17,10-13,0,8,0,26,6,0,14,15
2025-11-09_lmu_ca_denver,LMU (CA),5-14,2-3,3-3,7-19,1-7,3-4,6-14,1-1,3-4,6-11,2-5,1-3,,,,,,,24-58,6-16,10-14,0,10,0,34,2,0,23,12
2025-11-13_nevada_lmu_ca,LMU (CA),4-12,2-2,2-4,5-10,2-5,1-1,6-16,0-4,0-0,6-11,1-5,2-6,,,,,,,21-49,5-16,5-11,0,6,4,28,4,9,18,4
2025-11-13_nevada_lmu_ca,Nevada,5-10,0-1,1-1,5-12,2-3,1-2,7-13,2-2,2-2,6-10,0-2,2-2,,,,,,,23-45,4-8,6-7,0,5,4,30,4,9,17,20
2025-11-21_hawaii_lmu_ca,LMU (CA),3-12,0-4,4-5,5-15,2-7,1-2,3-12,2-5,2-7,7-16,1-4,3-5,,,,,,,18-55,5-20,10-19,0,21,4,22,2,6,7,6
2025-11-21_hawaii_lmu_ca,Hawaii,4-12,1-3,0-1,8-14,2-5,0-3,2-11,1-2,2-2,6-10,2-4,7-12,,,,,,,20-47,6-14,9-18,0,4,4,28,6,6,13,26
2025-11-23_lmu_ca_idaho_st,Idaho St.,5-14,1-1,0-0,5-7,0-2,6-8,4-15,0-4,0-2,8-14,0-0,1-4,,,,,,,22-50,1-7,7-14,0,6,0,34,3,2,13,21
2025-11-23_lmu_ca_idaho_st,LMU (CA),5-15,0-6,3-3,5-12,1-5,8-8,1-8,1-2,5-9,10-18,2-6,9-13,,,,,,,21-53,4-19,25-33,0,10,0,32,8,2,17,2
2025-11-29_cal_st_fullerton_lmu_ca,LMU (CA),9-17,2-3,1-1,5-13,1-3,7-8,6-14,2-4,1-2,4-10,1-2,10-12,,,,,,,24-54,6-12,19-23,0,6,8,28,15,3,11,8
2025-11-29_cal_st_fullerton_lmu_ca,Cal St. Fullerton,8-13,0-1,2-3,6-13,1-2,0-1,4-11,2-4,5-8,7-20,0-1,2-3,,,,,,,25-57,3-8,9-15,0,5,8,40,7,3,17,19
2025-12-05_lmu_ca_utah_st,Utah St.,5-12,3-8,1-2,3-10,0-4,2-3,5-10,1-1,6-10,7-11,1-5,4-4,,,,,,,20-43,5-18,13-19,0,0,8,30,6,13,10,21
2025-12-05_lmu_ca_utah_st,LMU (CA),6-15,0-2,3-4,2-13,2-5,1-6,8-15,1-3,0-0,8-13,0-1,8-14,,,,,,,24-56,3-11,12-24,0,13,8,36,10,13,27,17
2025-12-13_wichita_st_lmu_ca,LMU (CA),5-20,1-6,2-3,9-17,1-1,0-2,6-18,0-2,2-5,6-18,1-5,5-9,,,,,,,26-73,3-14,9-19,0,21,1,40,10,6,21,18
2025-12-13_wichita_st_lmu_ca,Wichita St.,5-11,4-7,4-6,8-15,3-5,0-0,7-15,1-4,0-0,4-8,0-4,11-14,,,,,,,24-49,8-20,15-20,0,9,1,32,13,6,12,38
2025-12-16_lmu_ca_chapman,Chapman,2-10,2-6,0-0,2-11,1-5,1-2,3-11,0-4,2-3,3-13,0-3,1-1,,,,,,,10-45,3-18,4-6,0,2,0,6,0,2,5,13
2025-12-16_lmu_ca_chapman,LMU (CA),7-18,1-6,3-4,9-17,2-7,0-0,9-18,1-7,5-7,9-13,0-0,1-2,,,,,,,34-66,4-20,9-13,0,19,0,52,16,2,24,33
2025-12-20_lmu_ca_weber_st,Weber St.,4-10,1-2,4-7,5-10,2-4,2-2,8-11,1-3,3-5,6-14,1-3,8-12,,,,,,,23-45,5-12,17-26,0,9,8,34,5,7,9,9
2025-12-20_lmu_ca_weber_st,LMU (CA),5-15,0-3,3-3,6-15,0-3,0-0,7-15,1-3,5-6,5-12,3-8,2-4,,,,,,,23-57,4-17,10-13,0,11,8,34,3,7,20,18
2025-12-21_lmu_ca_southern_utah,Southern Utah,5-13,1-6,0-0,6-14,2-5,1-3,9-11,2-2,4-6,6-16,3-7,3-5,,,,,,,26-54,8-20,8-14,0,5,0,32,0,0,8,7
2025-12-21_lmu_ca_southern_utah,LMU (CA),10-14,1-2,2-4,2-12,0-3,10-11,8-15,1-4,0-0,4-13,0-3,14-15,,,,,,,24-54,2-12,26-30,0,12,0,42,13,0,22,44
2025-12-28_gonzaga_lmu_ca,LMU (CA),4-11,1-3,2-2,6-16,2-6,4-6,3-8,1-3,6-9,9-20,0-4,3-3,5-8,2-4,0-0,2-7,1-6,0-0,29-70,7-26,15-20,0,13,11,36,8,12,16,34
2025-12-28_gonzaga_lmu_ca,Gonzaga,6-14,1-2,2-3,5-16,0-1,3-4,8-15,1-3,0-0,7-12,0-1,4-4,5-8,2-2,0-0,3-5,0-0,6-6,34-70,4-9,15-17,0,15,11,40,10,12,18,26
2025-12-30_washington_st_lmu_ca,LMU (CA),4-17,1-6,3-3,5-12,3-7,3-6,10-16,0-0,6-7,4-11,0-1,5-6,,,,,,,23-56,4-14,17-22,0,18,2,28,11,2,21,19
2025-12-30_washington_st_lmu_ca,Washington St.,7-13,2-4,0-0,4-16,2-11,2-3,5-12,3-6,0-1,8-17,0-3,1-3,,,,,,,24-58,7-24,3-7,0,16,2,26,4,2,7,7
2026-01-02_lmu_ca_santa_clara,Santa Clara,4-12,0-6,3-4,9-16,1-4,5-7,9-16,2-7,1-2,13-24,3-11,0-2,,,,,,,35-68,6-28,9-15,0,8,4,54,13,8,21,19
2026-01-02_lmu_ca_santa_clara,LMU (CA),9-17,1-1,0-0,6-18,1-6,3-5,9-16,0-1,4-4,8-20,1-6,18-19,,,,,,,32-71,3-14,25-28,0,24,4,50,18,8,20,23
2026-01-04_lmu_ca_san_francisco,San Francisco,7-14,1-2,2-2,6-14,0-4,2-2,10-16,1-3,3-3,6-10,2-3,5-6,2-5,1-2,6-8,,,,31-59,5-14,18-21,1,9,5,46,11,11,14,20
2026-01-04_lmu_ca_san_francisco,LMU (CA),9-16,1-3,1-2,4-12,1-5,6-8,5-17,1-3,6-7,8-19,1-1,5-7,2-8,1-5,3-4,,,,28-72,5-17,21-28,0,12,5,32,9,11,14,11
2026-01-08_pepperdine_lmu_ca,LMU (CA),7-15,1-2,2-2,8-23,3-6,1-3,9-16,2-4,0-1,8-10,0-0,0-0,1-3,0-0,8-10,,,,33-67,6-12,11-16,0,16,6,32,2,1,17,20
2026-01-08_pepperdine_lmu_ca,Pepperdine,10-14,1-2,2-2,6-14,1-5,3-4,3-12,2-4,1-2,10-15,1-2,4-4,2-6,0-1,1-2,,,,31-61,5-14,11-14,0,7,6,48,2,1,19,23
2026-01-15_lmu_ca_oregon_st,Oregon St.,5-13,2-5,0-0,6-9,1-3,5-6,5-9,0-1,5-8,3-12,0-3,0-2,,,,,,,19-43,3-12,10-16,0,2,7,28,4,10,9,13
2026-01-15_lmu_ca_oregon_st,LMU (CA),7-15,5-7,0-0,4-16,1-2,3-4,5-16,1-3,2-2,5-14,1-3,0-1,,,,,,,21-61,8-15,5-7,1,13,7,18,6,10,11,9
2026-01-17_pacific_lmu_ca,LMU (CA),10-18,1-2,1-1,6-13,0-0,2-3,7-16,0-2,3-3,9-14,2-4,1-3,,,,,,,32-61,3-8,7-10,0,16,0,40,4,0,23,19
2026-01-17_pacific_lmu_ca,Pacific,4-13,1-5,0-0,5-12,0-3,1-1,4-10,1-5,5-6,5-12,1-4,9-10,,,,,,,18-47,3-17,15-17,0,11,0,20,3,0,7,3
2026-01-22_lmu_ca_portland,Portland,5-16,1-5,5-5,7-13,1-2,1-1,7-19,1-6,4-4,7-14,2-4,1-2,,,,,,,26-62,5-17,11-12,0,14,10,36,4,8,8,15
2026-01-22_lmu_ca_portland,LMU (CA),7-17,1-4,0-0,6-19,1-2,3-3,6-12,1-4,5-7,10-14,0-0,8-14,,,,,,,29-62,3-10,16-24,0,12,10,46,2,8,23,21
2026-01-24_san_diego_lmu_ca,LMU (CA),7-17,0-4,1-2,6-18,2-5,2-3,5-11,0-0,6-6,3-18,1-10,6-8,,,,,,,21-64,3-19,15-19,0,13,5,22,11,5,16,9
2026-01-24_san_diego_lmu_ca,San Diego,5-14,0-1,2-2,7-15,1-1,2-2,8-13,1-2,2-2,6-11,2-2,7-11,,,,,,,26-53,4-6,13-17,0,7,5,30,24,5,14,17
2026-01-29_lmu_ca_pacific,Pacific,5-13,1-3,0-0,6-14,3-5,4-5,5-15,3-8,0-0,9-17,4-8,1-2,,,,,,,25-59,11-24,5-7,0,8,0,22,5,0,18,7
2026-01-29_lmu_ca_pacific,LMU (CA),12-14,1-2,0-0,7-12,3-5,2-2,6-12,2-7,4-4,9-18,4-6,3-3,,,,,,,34-56,10-20,9-9,0,5,0,28,9,0,20,23
2026-01-31_lmu_ca_seattle_u,Seattle U,0-6,0-1,2-4,5-15,1-4,2-2,2-13,0-3,8-11,4-16,1-5,4-4,,,,,,,11-50,2-13,16-21,0,6,0,18,2,0,4,11
2026-01-31_lmu_ca_seattle_u,LMU (CA),7-23,2-8,1-3,8-16,3-8,4-6,7-17,2-5,4-5,8-13,3-4,2-5,,,,,,,30-69,10-25,11-19,0,16,0,34,13,0,34,37
2026-02-05_saint_marys_ca_lmu_ca,LMU (CA),9-18,2-7,3-3,6-12,1-4,1-2,8-13,2-4,5-6,4-11,1-4,6-6,,,,,,,27-54,6-19,15-17,0,14,4,32,10,7,25,19
2026-02-05_saint_marys_ca_lmu_ca,Saint Mary's (CA),8-14,2-5,3-4,4-10,0-2,1-2,3-11,3-6,6-10,8-15,1-6,7-9,,,,,,,23-50,6-19,17-25,0,13,4,26,13,7,20,35
2026-02-12_lmu_ca_pepperdine,Pepperdine,6-14,3-6,0-0,5-11,1-4,3-4,4-11,0-2,0-2,7-10,1-2,10-13,,,,,,,22-46,5-14,13-19,1,10,3,32,7,2,18,10
2026-02-12_lmu_ca_pepperdine,LMU (CA),8-20,1-3,0-1,8-14,3-4,4-5,5-11,1-2,4-6,3-13,1-4,10-12,,,,,,,24-58,6-13,18-24,0,12,3,30,7,2,28,12
2026-02-14_lmu_ca_gonzaga,Gonzaga,7-16,1-5,1-2,7-16,3-6,1-4,5-7,2-2,4-4,4-12,1-4,4-4,,,,,,,23-51,7-17,10-14,0,10,8,24,5,11,10,14
2026-02-14_lmu_ca_gonzaga,LMU (CA),8-20,0-3,3-4,4-13,2-4,4-8,7-17,3-6,0-0,6-10,3-5,7-10,,,,,,,25-60,8-18,14-22,0,11,8,30,19,11,23,14
2026-02-19_seattle_u_lmu_ca,LMU (CA),8-17,0-3,4-4,9-19,4-7,6-7,5-18,0-2,3-3,4-12,0-3,9-10,,,,,,,26-66,4-15,22-24,0,18,2,34,17,0,40,35
2026-02-19_seattle_u_lmu_ca,Seattle U,4-12,1-4,0-0,3-8,1-2,5-8,5-13,0-6,2-4,6-9,2-2,7-8,,,,,,,18-42,4-14,14-20,0,5,2,26,8,0,23,5
2026-02-21_lmu_ca_san_diego,San Diego,2-13,0-2,1-4,7-16,1-5,3-5,5-9,0-3,6-8,5-12,0-3,12-14,,,,,,,19-50,1-13,22-31,0,12,1,30,2,0,14,25
2026-02-21_lmu_ca_san_diego,LMU (CA),10-21,1-8,1-1,5-13,2-5,1-2,10-22,1-5,0-2,6-13,2-4,4-4,,,,,,,31-69,6-22,6-9,0,6,1,32,10,0,17,27
2026-02-26_san_francisco_lmu_ca,LMU (CA),3-16,1-6,6-7,7-17,3-7,0-4,3-15,1-8,4-5,6-14,4-5,9-11,,,,,,,19-62,9-26,19-27,0,21,5,14,4,10,11,25
2026-02-26_san_francisco_lmu_ca,San Francisco,7-12,1-4,2-2,3-18,0-6,1-2,5-14,1-4,5-7,7-17,2-6,1-5,,,,,,,22-61,4-20,9-16,0,9,5,36,9,10,18,8
2026-02-28_oregon_st_lmu_ca,LMU (CA),9-18,2-5,0-0,6-14,1-2,2-3,5-20,0-4,1-3,7-15,0-5,2-3,3-6,1-1,2-2,,,,30-73,4-17,7-11,0,7,8,26,7,12,24,9
2026-02-28_oregon_st_lmu_ca,Oregon St.,7-13,2-6,0-0,9-14,0-3,0-0,7-11,3-6,3-7,4-11,0-4,0-1,2-7,0-1,3-4,,,,29-56,5-20,6-12,0,2,8,40,8,12,17,8
2026-03-09_lmu_ca_oregon_st,Oregon St.,5-18,1-4,2-2,6-10,4-6,3-4,6-13,1-2,0-0,5-11,1-3,17-21,,,,,,,22-52,7-15,22-27,0,10,4,26,2,6,8,6
2026-03-09_lmu_ca_oregon_st,LMU (CA),6-15,1-4,0-0,8-17,2-3,0-0,6-18,0-2,0-3,9-21,1-7,5-5,,,,,,,29-71,4-16,5-8,0,5,4,32,10,6,17,23
2026-03-19_stanford_lmu_ca,LMU (CA),7-21,2-9,0-0,5-15,2-4,2-5,7-17,1-4,6-9,7-16,5-9,6-8,,,,,,,26-69,10-26,14-22,0,13,3,24,4,4,15,12
2026-03-19_stanford_lmu_ca,Stanford,11-17,2-4,0-0,7-11,2-3,0-0,5-12,0-2,3-6,9-16,0-2,9-11,,,,,,,32-56,4-11,12-17,0,15,3,50,23,4,23,1
