game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2025-11-03_new_mexico_northern_ariz,2025-11-03,New Mexico,Northern Ariz.,77,59,New Mexico,"Albuquerque, N.M.",away,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/new-mexico/boxscore/5020
2025-11-08_utah_tech_northern_ariz,2025-11-08,Utah Tech,Northern Ariz.,78,73,Utah Tech,"St. George, Utah",away,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/utah-tech/boxscore/5021
2025-11-11_northern_ariz_embry_riddle_az,2025-11-11,Northern Ariz.,Embry-Riddle (AZ),100,59,Northern Ariz.,"Flagstaff, Ariz.",home,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/embry-riddle/boxscore/5022
2025-11-15_uc_irvine_northern_ariz,2025-11-15,UC Irvine,Northern Ariz.,90,75,UC Irvine,"Irvine, Calif.",away,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/uc-irvine/boxscore/5023
2025-11-19_northern_ariz_pepperdine,2025-11-19,Northern Ariz.,Pepperdine,74,80,Pepperdine,"Flagstaff, Ariz.",home,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/pepperdine/boxscore/5024
2025-11-21_arizona_northern_ariz,2025-11-21,Arizona,Northern Ariz.,87,76,Arizona,"Tucson, Ariz.",away,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/arizona/boxscore/5025
2025-11-26_northern_ariz_uni,2025-11-26,Northern Ariz.,UNI,60,79,UNI,"Las Vegas, Nev.",neutral,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/northern-iowa/boxscore/5026
2025-11-28_northern_ariz_creighton,2025-11-28,Northern Ariz.,Creighton,62,86,Creighton,"Las Vegas, Nev.",neutral,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/creighton/boxscore/5027
2025-12-03_st_thomas_mn_northern_ariz,2025-12-03,St. Thomas (MN),Northern Ariz.,74,66,St. Thomas (MN),"St. Paul, Minn.",away,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/st-thomas/boxscore/5028
2025-12-06_northern_ariz_south_dakota_st,2025-12-06,Northern Ariz.,South Dakota St.,72,88,South Dakota St.,"Flagstaff, Ariz.",home,False,2025-26,https://nauathletics.com/sports/womens-basketball/stats/2025-26/south-dakota-state/boxscore/5031
