game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,25,"White, Naomi",True,37,9,24,0.375,6,13,0.462,0,2,0.0,0,4,4,2,2,6,1,1,24
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,11,"Taylor, Audrey",True,28,3,7,0.429,2,5,0.4,2,2,1.0,0,1,1,4,1,2,0,3,10
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,03,"Watts, Madison",True,33,3,11,0.273,0,3,0.0,2,3,0.667,1,5,6,2,1,4,2,1,8
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,35,"Morris, Simone",True,27,1,7,0.143,0,1,0.0,4,6,0.667,6,2,8,1,2,0,0,0,6
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,07,"Davis, Layla",True,11,1,2,0.5,0,0,,0,0,,0,1,1,3,2,0,0,0,2
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,00,"Dasovich, Emma",False,24,2,5,0.4,1,3,0.333,1,2,0.5,1,1,2,4,1,0,0,0,6
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,05,"Blithikioti, Eri",False,23,0,2,0.0,0,2,0.0,2,2,1.0,1,2,3,0,1,3,0,1,2
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,13,"Robinson, J'Bionna",False,3,0,0,,0,0,,1,2,0.5,0,1,1,0,0,2,0,0,1
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,14,"Saric, Valentina",False,7,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,10,"Williams, Hannah",False,4,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,0,0
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,23,"Williams, Kayla",False,3,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0
2025-11-03_new_mexico_northern_ariz,New Mexico,40,"Craig, Clarissa",True,24,4,4,1.0,0,0,,8,9,0.889,1,4,5,3,0,2,1,0,16
2025-11-03_new_mexico_northern_ariz,New Mexico,03,"Hooks, Destinee",True,20,4,10,0.4,2,3,0.667,2,4,0.5,2,2,4,4,3,2,0,1,12
2025-11-03_new_mexico_northern_ariz,New Mexico,04,"Hargrove, Alyssa",True,31,4,7,0.571,2,4,0.5,1,2,0.5,1,4,5,2,5,3,1,2,11
2025-11-03_new_mexico_northern_ariz,New Mexico,11,"Padilla, Nayli",True,37,3,9,0.333,1,6,0.167,2,4,0.5,2,3,5,2,4,2,1,3,9
2025-11-03_new_mexico_northern_ariz,New Mexico,13,"Magalhães, Joana",True,27,4,7,0.571,0,1,0.0,0,2,0.0,0,4,4,2,2,3,0,6,8
2025-11-03_new_mexico_northern_ariz,New Mexico,44,"Abdurraqib, Laila",False,22,3,5,0.6,3,4,0.75,0,0,,0,0,0,1,3,2,0,1,9
2025-11-03_new_mexico_northern_ariz,New Mexico,23,"Najjuma, Emma",False,10,3,3,1.0,0,0,,0,2,0.0,1,2,3,1,0,0,0,0,6
2025-11-03_new_mexico_northern_ariz,New Mexico,05,"Foster, Kaia",False,9,1,3,0.333,0,2,0.0,0,0,,1,5,6,1,1,1,0,0,2
2025-11-03_new_mexico_northern_ariz,New Mexico,20,"Jones, Tyler",False,8,1,4,0.25,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2
2025-11-03_new_mexico_northern_ariz,New Mexico,15,"Jordon, Drew",False,5,1,2,0.5,0,0,,0,0,,0,1,1,5,0,0,0,1,2
2025-11-03_new_mexico_northern_ariz,New Mexico,24,"Joaquim, Jessie",False,6,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
2025-11-03_new_mexico_northern_ariz,New Mexico,14,"Peixinho, Leonor",False,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-03_new_mexico_northern_ariz,New Mexico,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,5,5,0,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,25,"White, Naomi",True,38,11,22,0.5,4,5,0.8,0,4,0.0,1,6,7,5,1,6,0,3,26
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,11,"Taylor, Audrey",True,35,6,11,0.545,2,5,0.4,2,2,1.0,3,4,7,2,5,4,0,3,16
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,35,"Morris, Simone",True,35,5,15,0.333,0,3,0.0,4,4,1.0,0,2,2,5,0,1,1,1,14
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,00,"Dasovich, Emma",True,17,2,4,0.5,0,1,0.0,1,1,1.0,1,5,6,5,2,3,0,1,5
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,14,"Saric, Valentina",True,7,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,1,0
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,05,"Blithikioti, Eri",False,27,3,4,0.75,1,2,0.5,0,0,,0,5,5,5,3,3,1,0,7
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,07,"Davis, Layla",False,20,1,6,0.167,0,0,,0,0,,3,1,4,0,0,1,1,1,2
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,10,"Williams, Hannah",False,6,1,2,0.5,0,0,,0,1,0.0,0,2,2,3,0,0,0,1,2
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,13,"Robinson, J'Bionna",False,12,0,3,0.0,0,0,,1,2,0.5,1,3,4,2,0,4,0,1,1
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,01,"Harris, Alyssa",False,1,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,23,"Williams, Kayla",False,1,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,30,"Curry, Faith",False,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,12,"Dunn, Addison",False,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,4,7,0,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Utah Tech,21,"Borden, Kaylee",True,31,7,14,0.5,2,5,0.4,5,6,0.833,0,1,1,0,3,1,0,1,21
2025-11-08_utah_tech_northern_ariz,Utah Tech,05,"Hartley, Chardonnay",True,33,7,13,0.538,3,5,0.6,2,7,0.286,0,3,3,2,4,6,1,5,19
2025-11-08_utah_tech_northern_ariz,Utah Tech,01,"Warren, Maddie",True,18,2,9,0.222,2,7,0.286,5,6,0.833,0,5,5,4,0,0,0,2,11
2025-11-08_utah_tech_northern_ariz,Utah Tech,11,"Cofer, Paige",True,23,4,7,0.571,0,1,0.0,1,4,0.25,1,0,1,4,2,2,0,1,9
2025-11-08_utah_tech_northern_ariz,Utah Tech,04,"Crittendon, Brie",True,30,2,3,0.667,1,1,1.0,2,2,1.0,2,4,6,3,2,4,0,0,7
2025-11-08_utah_tech_northern_ariz,Utah Tech,03,"Dallas, Calyn",False,31,2,5,0.4,2,4,0.5,1,2,0.5,0,8,8,0,0,0,2,0,7
2025-11-08_utah_tech_northern_ariz,Utah Tech,20,"Mili, Merceius",False,12,2,4,0.5,0,2,0.0,0,0,,0,3,3,1,1,2,0,1,4
2025-11-08_utah_tech_northern_ariz,Utah Tech,24,"Crocker, Lauren",False,11,0,3,0.0,0,2,0.0,0,0,,1,3,4,1,1,2,2,0,0
2025-11-08_utah_tech_northern_ariz,Utah Tech,10,"Colic, Andjela",False,9,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,2,0,0,0
2025-11-08_utah_tech_northern_ariz,Utah Tech,25,"Shimada, Annalyse",False,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-08_utah_tech_northern_ariz,Utah Tech,TM,TEAM,False,0,0,0,,0,0,,0,0,,2,2,4,0,0,0,0,0,0
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),10,"Dean, Abby",True,30,5,14,0.357,3,10,0.3,1,2,0.5,0,2,2,2,1,5,0,1,14
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),42,"Morris-Rexford, Riley",True,19,2,5,0.4,0,0,,2,2,1.0,4,2,6,3,2,5,0,1,6
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),20,"Smith, Jordyn",True,26,1,5,0.2,0,2,0.0,1,2,0.5,1,1,2,3,2,1,0,0,3
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),33,"Barrett, Bella",True,12,0,3,0.0,0,0,,2,2,1.0,0,1,1,2,0,2,0,1,2
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),35,"McBride, Kate",True,14,0,1,0.0,0,0,,0,2,0.0,2,4,6,4,2,1,0,0,0
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),21,"Alapai, Makenzie",False,26,2,8,0.25,0,4,0.0,6,8,0.75,2,3,5,1,2,5,0,2,10
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),17,"Evenson, Morgan",False,16,3,5,0.6,1,3,0.333,2,4,0.5,0,2,2,2,0,3,0,1,9
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),15,"Whelan, Angelina",False,20,3,5,0.6,1,2,0.5,0,0,,0,5,5,3,0,1,0,0,7
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),03,"Nakakura, Kapomaika'i",False,11,0,2,0.0,0,2,0.0,4,4,1.0,0,1,1,3,1,7,0,1,4
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),00,"Clayton, Jaelah",False,13,1,3,0.333,1,3,0.333,0,0,,1,1,2,0,0,4,0,0,3
