game_id,period,time_remaining,team,player,play,away_score,home_score
2025-11-03_new_mexico_northern_ariz,1,09:45,New Mexico,"MAGALHãES,JOANA","MISS JUMPER by MAGALHãES,JOANA(in the paint)",,
2025-11-03_new_mexico_northern_ariz,1,09:45,Northern Ariz.,"WATTS,MADISON","BLOCK by WATTS,MADISON",,
2025-11-03_new_mexico_northern_ariz,1,--,Northern Ariz.,"MORRIS,SIMONE","REBOUND DEF by MORRIS,SIMONE",,
2025-11-03_new_mexico_northern_ariz,1,09:28,Northern Ariz.,"WATTS,MADISON","GOOD LAYUP by WATTS,MADISON(in the paint)",2,0
2025-11-03_new_mexico_northern_ariz,1,--,Northern Ariz.,"WHITE,NAOMI","ASSIST by WHITE,NAOMI",,
2025-11-03_new_mexico_northern_ariz,1,09:07,New Mexico,"CRAIG,CLARISSA","GOOD LAYUP by CRAIG,CLARISSA(in the paint)",2,2
2025-11-03_new_mexico_northern_ariz,1,--,New Mexico,"HOOKS,DESTINEE","ASSIST by HOOKS,DESTINEE",,
2025-11-03_new_mexico_northern_ariz,1,08:50,Northern Ariz.,"TAYLOR,AUDREY","GOOD LAYUP by TAYLOR,AUDREY(in the paint)",4,2
2025-11-03_new_mexico_northern_ariz,1,08:42,New Mexico,"PADILLA,NAYLI","GOOD 3PTR by PADILLA,NAYLI(fastbreak)",4,5
2025-11-03_new_mexico_northern_ariz,1,--,New Mexico,"HARGROVE,ALYSSA","ASSIST by HARGROVE,ALYSSA",,
2025-11-03_new_mexico_northern_ariz,1,08:05,Northern Ariz.,"WATTS,MADISON","MISS 3PTR by WATTS,MADISON",,
2025-11-03_new_mexico_northern_ariz,1,--,New Mexico,"MAGALHãES,JOANA","REBOUND DEF by MAGALHãES,JOANA",,
2025-11-03_new_mexico_northern_ariz,1,07:56,New Mexico,"PADILLA,NAYLI","GOOD LAYUP by PADILLA,NAYLI(in the paint)",4,7
2025-11-03_new_mexico_northern_ariz,1,07:44,Northern Ariz.,"WATTS,MADISON","TURNOVER by WATTS,MADISON",,
2025-11-03_new_mexico_northern_ariz,1,07:44,New Mexico,"MAGALHãES,JOANA","STEAL by MAGALHãES,JOANA",,
2025-11-03_new_mexico_northern_ariz,1,07:41,Northern Ariz.,"WATTS,MADISON","SUB OUT by WATTS,MADISON",,
2025-11-03_new_mexico_northern_ariz,1,07:41,Northern Ariz.,"BLITHIKIOTI,ERI","SUB IN by BLITHIKIOTI,ERI",,
2025-11-03_new_mexico_northern_ariz,1,07:41,New Mexico,"MAGALHãES,JOANA","TURNOVER by MAGALHãES,JOANA",,
2025-11-03_new_mexico_northern_ariz,1,07:25,Northern Ariz.,"WHITE,NAOMI","TURNOVER by WHITE,NAOMI",,
2025-11-03_new_mexico_northern_ariz,1,07:25,New Mexico,"MAGALHãES,JOANA","STEAL by MAGALHãES,JOANA",,
2025-11-03_new_mexico_northern_ariz,1,07:20,New Mexico,"HOOKS,DESTINEE","GOOD LAYUP by HOOKS,DESTINEE(fastbreak)(in the paint)",4,9
2025-11-03_new_mexico_northern_ariz,1,--,New Mexico,"HARGROVE,ALYSSA","ASSIST by HARGROVE,ALYSSA",,
2025-11-03_new_mexico_northern_ariz,1,07:02,Northern Ariz.,"TAYLOR,AUDREY","GOOD 3PTR by TAYLOR,AUDREY",7,9
2025-11-03_new_mexico_northern_ariz,1,--,Northern Ariz.,"MORRIS,SIMONE","ASSIST by MORRIS,SIMONE",,
2025-11-03_new_mexico_northern_ariz,1,06:51,New Mexico,"HARGROVE,ALYSSA","MISS LAYUP by HARGROVE,ALYSSA(in the paint)",,
2025-11-03_new_mexico_northern_ariz,1,--,Northern Ariz.,"WHITE,NAOMI","REBOUND DEF by WHITE,NAOMI",,
2025-11-03_new_mexico_northern_ariz,1,06:40,Northern Ariz.,"DAVIS,LAYLA","MISS JUMPER by DAVIS,LAYLA",,
2025-11-03_new_mexico_northern_ariz,1,--,New Mexico,"HARGROVE,ALYSSA","REBOUND DEF by HARGROVE,ALYSSA",,
2025-11-03_new_mexico_northern_ariz,1,06:31,New Mexico,"PADILLA,NAYLI","MISS 3PTR by PADILLA,NAYLI",,
2025-11-03_new_mexico_northern_ariz,1,--,Northern Ariz.,"TAYLOR,AUDREY","REBOUND DEF by TAYLOR,AUDREY",,
2025-11-03_new_mexico_northern_ariz,1,06:22,New Mexico,"HARGROVE,ALYSSA","SUB OUT by HARGROVE,ALYSSA",,
