game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-03_new_mexico_northern_ariz,Northern Ariz.,5-15,1-7,4-6,7-13,3-6,3-5,6-17,5-11,2-4,1-13,0-3,3-4,,,,19-58,9-27,12-19,0,12,1,12,5,1,10,9
2025-11-03_new_mexico_northern_ariz,New Mexico,9-16,4-7,0-0,6-15,3-9,7-12,10-15,0-1,1-3,3-8,1-4,5-8,,,,28-54,8-21,13-23,0,6,1,34,21,1,20,21
2025-11-08_utah_tech_northern_ariz,Northern Ariz.,7-16,2-4,1-3,6-20,1-6,0-0,8-16,2-3,3-5,8-15,2-3,4-6,,,,29-67,7-16,8-14,0,11,6,30,6,6,12,12
2025-11-08_utah_tech_northern_ariz,Utah Tech,9-16,4-8,1-4,3-15,2-10,0-0,6-13,2-5,2-4,8-16,2-5,13-19,,,,26-60,10-28,16-27,0,5,6,28,9,6,21,11
2025-11-11_northern_ariz_embry_riddle_az,Embry-Riddle (AZ),7-15,3-8,1-2,5-13,2-8,0-0,2-12,0-5,7-10,3-12,1-5,11-18,,,,17-52,6-26,19-30,0,10,2,18,5,1,7,34
2025-11-11_northern_ariz_embry_riddle_az,Northern Ariz.,9-19,0-3,2-4,8-20,6-13,5-8,9-17,1-4,6-9,11-23,1-4,5-8,,,,37-79,8-24,18-29,1,17,2,52,21,1,42,47
2025-11-15_uc_irvine_northern_ariz,Northern Ariz.,6-15,3-6,1-2,5-14,2-6,3-4,6-12,2-5,9-12,4-13,1-5,12-15,,,,21-54,8-22,25-33,0,9,1,18,6,0,10,27
2025-11-15_uc_irvine_northern_ariz,UC Irvine,7-16,1-4,6-6,7-22,4-11,0-0,9-20,2-6,9-10,5-15,3-6,9-10,,,,28-73,10-27,24-26,0,15,1,34,7,0,18,26
2025-11-19_northern_ariz_pepperdine,Pepperdine,7-15,1-2,2-4,8-14,2-4,3-3,5-12,1-4,8-8,6-12,2-5,9-12,,,,26-53,6-15,22-27,0,2,0,36,21,1,19,10
2025-11-19_northern_ariz_pepperdine,Northern Ariz.,9-18,2-4,1-1,4-18,0-4,1-3,5-13,2-4,3-3,9-15,1-3,10-13,,,,27-64,5-15,15-20,0,14,0,40,9,1,22,31
