game_id,period,time_remaining,team,player,play,away_score,home_score
2025-10-30_portland_st_warner_pacific,1,09:48,Portland St.,"YOAKUM,AJAE","GOOD JUMPER by YOAKUM,AJAE(in the paint)",0,2
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"TORRES-KAHAPEA,LAYNE","ASSIST by TORRES-KAHAPEA,LAYNE",,
2025-10-30_portland_st_warner_pacific,1,09:36,Warner Pacific,"CAMPBELL,ASHLAND","TURNOVER by CAMPBELL,ASHLAND",,
2025-10-30_portland_st_warner_pacific,1,09:36,Portland St.,"BROWN,KYLEIGH","STEAL by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,09:29,Portland St.,"ENCINAS,ALANI","GOOD 3PTR by ENCINAS,ALANI(fastbreak)",0,5
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"BROWN,KYLEIGH","ASSIST by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,09:07,Warner Pacific,"SAUNDERS,ALEX","MISS LAYUP by SAUNDERS,ALEX(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"ENCINAS,ALANI","REBOUND DEF by ENCINAS,ALANI",,
2025-10-30_portland_st_warner_pacific,1,09:00,Portland St.,"TORRES-KAHAPEA,LAYNE","MISS 3PTR by TORRES-KAHAPEA,LAYNE",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"GONZALES,KAILEY","REBOUND DEF by GONZALES,KAILEY",,
2025-10-30_portland_st_warner_pacific,1,08:38,Warner Pacific,"CAMPBELL,ASHLAND","MISS JUMPER by CAMPBELL,ASHLAND(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"BROWN,KYLEIGH","REBOUND DEF by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,08:31,Portland St.,"BROWN,KYLEIGH","MISS LAYUP by BROWN,KYLEIGH(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,08:31,Warner Pacific,"FORTIN,EMILY","BLOCK by FORTIN,EMILY",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"GONZALES,KAILEY","REBOUND DEF by GONZALES,KAILEY",,
2025-10-30_portland_st_warner_pacific,1,08:20,Warner Pacific,"CAMPBELL,ASHLAND","MISS LAYUP by CAMPBELL,ASHLAND(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"MUNK,KIRSTINE","REBOUND DEF by MUNK,KIRSTINE",,
2025-10-30_portland_st_warner_pacific,1,08:03,Portland St.,"BROWN,KYLEIGH","GOOD JUMPER by BROWN,KYLEIGH(in the paint)",0,7
2025-10-30_portland_st_warner_pacific,1,07:44,Warner Pacific,"FORTIN,EMILY","MISS LAYUP by FORTIN,EMILY(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"YOAKUM,AJAE","REBOUND DEF by YOAKUM,AJAE",,
2025-10-30_portland_st_warner_pacific,1,07:19,Portland St.,"MUNK,KIRSTINE","MISS LAYUP by MUNK,KIRSTINE(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"SAUNDERS,ALEX","REBOUND DEF by SAUNDERS,ALEX",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"BROOKS,KIKI","GOOD LAYUP by BROOKS,KIKI(in the paint)",2,7
2025-10-30_portland_st_warner_pacific,1,06:55,Portland St.,"BROWN,KYLEIGH","FOUL by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,06:55,Portland St.,"ENCINAS,ALANI","SUB OUT by ENCINAS,ALANI",,
2025-10-30_portland_st_warner_pacific,1,06:55,Portland St.,"BUZZARD,SOPHIE","SUB IN by BUZZARD,SOPHIE",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"CAMPBELL,ASHLAND","SUB OUT by CAMPBELL,ASHLAND",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"SAUNDERS,ALEX","SUB OUT by SAUNDERS,ALEX",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"FORTIN,EMILY","SUB OUT by FORTIN,EMILY",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"SALES,AMALYA","SUB IN by SALES,AMALYA",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"RHODE,PAITLYN","SUB IN by RHODE,PAITLYN",,
2025-10-30_portland_st_warner_pacific,1,06:55,Warner Pacific,"MEE,ALEXA","SUB IN by MEE,ALEXA",,
2025-10-30_portland_st_warner_pacific,1,06:54,Warner Pacific,"BROOKS,KIKI","MISS FT by BROOKS,KIKI",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"MEE,ALEXA","REBOUND OFF by MEE,ALEXA",,
2025-10-30_portland_st_warner_pacific,1,06:51,Warner Pacific,"MEE,ALEXA","MISS LAYUP by MEE,ALEXA(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"MUNK,KIRSTINE","REBOUND DEF by MUNK,KIRSTINE",,
2025-10-30_portland_st_warner_pacific,1,06:42,Warner Pacific,"GONZALES,KAILEY","FOUL by GONZALES,KAILEY",,
2025-10-30_portland_st_warner_pacific,1,06:42,Portland St.,"YOAKUM,AJAE","SUB OUT by YOAKUM,AJAE",,
2025-10-30_portland_st_warner_pacific,1,06:42,Portland St.,"CHICKEN,HANNAH","SUB IN by CHICKEN,HANNAH",,
2025-10-30_portland_st_warner_pacific,1,06:40,Portland St.,"BROWN,KYLEIGH","MISS JUMPER by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"SALES,AMALYA","REBOUND DEF by SALES,AMALYA",,
2025-10-30_portland_st_warner_pacific,1,06:18,Warner Pacific,"MEE,ALEXA","MISS LAYUP by MEE,ALEXA(in the paint)",,
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"CHICKEN,HANNAH","REBOUND DEF by CHICKEN,HANNAH",,
2025-10-30_portland_st_warner_pacific,1,06:06,Portland St.,"BROWN,KYLEIGH","MISS 3PTR by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"SALES,AMALYA","REBOUND DEF by SALES,AMALYA",,
2025-10-30_portland_st_warner_pacific,1,05:44,Warner Pacific,"GONZALES,KAILEY","TURNOVER by GONZALES,KAILEY",,
2025-10-30_portland_st_warner_pacific,1,05:44,Portland St.,"MUNK,KIRSTINE","STEAL by MUNK,KIRSTINE",,
2025-10-30_portland_st_warner_pacific,1,05:40,Portland St.,"BUZZARD,SOPHIE","GOOD LAYUP by BUZZARD,SOPHIE(fastbreak)(in the paint)",2,9
2025-10-30_portland_st_warner_pacific,1,05:18,Portland St.,"CHICKEN,HANNAH","FOUL by CHICKEN,HANNAH",,
2025-10-30_portland_st_warner_pacific,1,05:18,Portland St.,"MUNK,KIRSTINE","SUB OUT by MUNK,KIRSTINE",,
2025-10-30_portland_st_warner_pacific,1,05:18,Portland St.,"YOAKUM,AJAE","SUB IN by YOAKUM,AJAE",,
2025-10-30_portland_st_warner_pacific,1,05:18,Warner Pacific,"GONZALES,KAILEY","SUB OUT by GONZALES,KAILEY",,
2025-10-30_portland_st_warner_pacific,1,05:18,Warner Pacific,"BROOKS,KIKI","SUB OUT by BROOKS,KIKI",,
2025-10-30_portland_st_warner_pacific,1,05:18,Warner Pacific,"SAUNDERS,ALEX","SUB IN by SAUNDERS,ALEX",,
2025-10-30_portland_st_warner_pacific,1,05:18,Warner Pacific,"GROESBECK,SKYLAR","SUB IN by GROESBECK,SKYLAR",,
2025-10-30_portland_st_warner_pacific,1,05:18,Portland St.,"TORRES-KAHAPEA,LAYNE","SUB OUT by TORRES-KAHAPEA,LAYNE",,
2025-10-30_portland_st_warner_pacific,1,05:18,Portland St.,"ENCINAS,ALANI","SUB IN by ENCINAS,ALANI",,
2025-10-30_portland_st_warner_pacific,1,05:08,Warner Pacific,"GROESBECK,SKYLAR","TURNOVER by GROESBECK,SKYLAR",,
2025-10-30_portland_st_warner_pacific,1,05:08,Portland St.,"BUZZARD,SOPHIE","STEAL by BUZZARD,SOPHIE",,
2025-10-30_portland_st_warner_pacific,1,05:04,Portland St.,"BUZZARD,SOPHIE","GOOD LAYUP by BUZZARD,SOPHIE(fastbreak)(in the paint)",2,11
2025-10-30_portland_st_warner_pacific,1,04:47,Portland St.,"BROWN,KYLEIGH","FOUL by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,04:47,Warner Pacific,TEAM,TIMEOUT MEDIA by TEAM,,
2025-10-30_portland_st_warner_pacific,1,04:47,Portland St.,"BROWN,KYLEIGH","SUB OUT by BROWN,KYLEIGH",,
2025-10-30_portland_st_warner_pacific,1,04:47,Portland St.,"TORRES-KAHAPEA,LAYNE","SUB IN by TORRES-KAHAPEA,LAYNE",,
2025-10-30_portland_st_warner_pacific,1,04:42,Warner Pacific,"SAUNDERS,ALEX","GOOD LAYUP by SAUNDERS,ALEX(in the paint)",4,11
2025-10-30_portland_st_warner_pacific,1,04:30,Portland St.,"CHICKEN,HANNAH","MISS JUMPER by CHICKEN,HANNAH",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"GROESBECK,SKYLAR","REBOUND DEF by GROESBECK,SKYLAR",,
2025-10-30_portland_st_warner_pacific,1,04:09,Warner Pacific,"SAUNDERS,ALEX","GOOD LAYUP by SAUNDERS,ALEX(in the paint)",6,11
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"MEE,ALEXA","ASSIST by MEE,ALEXA",,
2025-10-30_portland_st_warner_pacific,1,03:47,Portland St.,"BUZZARD,SOPHIE","MISS 3PTR by BUZZARD,SOPHIE",,
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"SAUNDERS,ALEX","REBOUND DEF by SAUNDERS,ALEX",,
2025-10-30_portland_st_warner_pacific,1,03:29,Warner Pacific,"MEE,ALEXA","GOOD JUMPER by MEE,ALEXA(in the paint)",8,11
2025-10-30_portland_st_warner_pacific,1,03:16,Portland St.,"ENCINAS,ALANI","GOOD 3PTR by ENCINAS,ALANI",8,14
2025-10-30_portland_st_warner_pacific,1,--,Portland St.,"TORRES-KAHAPEA,LAYNE","ASSIST by TORRES-KAHAPEA,LAYNE",,
2025-10-30_portland_st_warner_pacific,1,02:52,Warner Pacific,"RHODE,PAITLYN","TURNOVER by RHODE,PAITLYN",,
2025-10-30_portland_st_warner_pacific,1,02:52,Portland St.,"ENCINAS,ALANI","STEAL by ENCINAS,ALANI",,
2025-10-30_portland_st_warner_pacific,1,02:48,Portland St.,"ENCINAS,ALANI","GOOD LAYUP by ENCINAS,ALANI(fastbreak)(in the paint)",8,16
2025-10-30_portland_st_warner_pacific,1,02:33,Warner Pacific,"MEE,ALEXA","GOOD JUMPER by MEE,ALEXA",10,16
2025-10-30_portland_st_warner_pacific,1,--,Warner Pacific,"SALES,AMALYA","ASSIST by SALES,AMALYA",,
2025-10-30_portland_st_warner_pacific,1,02:15,Portland St.,"YOAKUM,AJAE","MISS JUMPER by YOAKUM,AJAE(in the paint)",,
