game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-10-30_portland_st_warner_pacific,Warner Pacific,6-13,0-0,1-3,4-17,0-3,1-2,7-15,1-7,2-2,5-12,1-3,1-2,,,,22-57,2-13,5-9,0,5,0,32,3,0,8,20
2025-10-30_portland_st_warner_pacific,Portland St.,10-20,3-8,3-3,9-18,1-5,3-4,7-17,0-2,1-2,8-12,3-5,6-6,,,,34-67,7-20,13-15,0,10,0,52,13,0,25,21
2025-11-04_hawaii_portland_st,Portland St.,4-13,1-3,2-3,6-20,1-7,5-7,6-11,1-3,7-10,4-11,0-3,6-8,,,,20-55,3-16,20-28,0,8,1,34,3,0,5,24
2025-11-04_hawaii_portland_st,Hawaii,6-14,1-4,3-7,7-17,2-5,3-4,6-13,1-3,9-13,7-18,0-2,3-5,,,,26-62,4-14,18-29,0,17,1,42,8,0,14,32
2025-11-11_portland_st_willamette,Willamette,4-16,3-10,0-0,4-12,0-4,1-2,7-16,3-7,0-0,4-11,3-6,4-8,,,,19-55,9-27,5-10,0,6,1,12,0,2,10,19
2025-11-11_portland_st_willamette,Portland St.,9-14,1-2,4-4,8-17,1-4,2-3,9-20,0-6,2-2,12-17,3-3,0-0,,,,38-68,5-15,8-9,0,14,1,64,10,2,22,39
2025-11-16_colorado_portland_st,Portland St.,5-11,1-3,0-0,5-12,1-3,1-2,3-9,3-3,4-5,3-12,1-7,2-5,,,,16-44,6-16,7-12,0,2,2,16,4,2,11,16
2025-11-16_colorado_portland_st,Colorado,6-16,2-6,1-2,9-16,1-4,3-5,9-19,1-7,3-4,6-16,3-5,3-6,,,,30-67,7-22,10-17,0,15,2,34,14,2,26,38
2025-11-18_air_force_portland_st,Portland St.,5-10,1-2,1-4,6-12,0-2,2-2,5-14,0-2,4-4,3-8,0-1,9-10,,,,19-44,1-7,16-20,0,12,1,32,2,0,6,15
2025-11-18_air_force_portland_st,Air Force,8-17,2-5,2-2,9-19,3-5,0-0,4-15,1-6,0-0,5-13,2-4,3-4,,,,26-64,8-20,5-6,0,13,1,28,2,0,14,26
2025-11-22_utah_tech_portland_st,Portland St.,4-18,1-4,1-1,9-15,1-2,3-6,5-14,0-0,8-9,5-13,0-1,3-6,,,,23-60,2-7,15-22,0,9,0,24,9,0,14,18
2025-11-22_utah_tech_portland_st,Utah Tech,11-17,4-8,2-2,5-18,1-6,3-3,5-17,2-9,2-4,6-11,1-5,2-4,,,,27-63,8-28,9-13,0,7,0,32,13,0,22,7
2025-11-28_portland_st_san_jose_st,San Jose St.,7-19,1-5,0-2,6-14,1-4,4-5,4-13,2-6,2-4,8-17,1-5,3-5,,,,25-63,5-20,9-16,0,5,11,40,7,10,12,13
2025-11-28_portland_st_san_jose_st,Portland St.,6-14,2-6,4-6,6-22,1-5,2-2,7-15,1-3,5-7,8-15,2-6,4-4,,,,27-66,6-20,15-19,0,15,11,24,11,10,18,26
2025-11-30_portland_st_uc_san_diego,UC San Diego,12-22,3-5,3-3,6-18,3-7,0-0,10-17,5-9,2-2,8-15,0-3,6-8,,,,36-72,11-24,11-13,0,12,0,48,6,0,23,28
2025-11-30_portland_st_uc_san_diego,Portland St.,6-17,1-5,1-3,2-12,1-5,6-9,3-10,1-3,13-16,5-16,1-5,8-11,,,,16-55,4-18,28-39,0,9,0,18,2,0,5,9
2025-12-03_portland_st_south_dakota,South Dakota,6-18,0-6,0-0,9-16,2-2,2-4,10-15,4-5,3-6,2-10,1-3,9-10,,,,27-59,7-16,14-20,0,14,2,28,2,1,5,18
2025-12-03_portland_st_south_dakota,Portland St.,3-16,3-10,4-4,2-13,1-2,0-2,2-16,0-2,10-11,6-14,3-6,4-4,,,,13-59,7-20,18-21,0,9,2,12,2,1,17,4
2025-12-06_kansas_city_portland_st,Portland St.,6-16,0-4,5-6,8-18,1-5,5-7,3-11,0-1,8-12,7-14,3-4,1-2,2-5,0-0,10-13,26-64,4-14,29-40,0,24,14,40,14,14,9,32
2025-12-06_kansas_city_portland_st,Kansas City,9-20,0-2,2-3,4-13,1-2,3-3,9-17,2-4,7-10,3-13,0-3,6-8,2-6,1-3,3-6,27-69,4-14,21-30,0,10,14,30,8,14,17,21
2025-12-13_cal_st_fullerton_portland_st,Portland St.,5-10,1-4,4-4,6-13,2-7,4-4,5-17,1-4,6-7,4-17,2-9,6-10,,,,20-57,6-24,20-25,0,19,0,26,8,0,22,28
2025-12-13_cal_st_fullerton_portland_st,Cal St. Fullerton,10-16,2-2,3-3,4-15,0-4,9-10,10-17,1-2,3-3,7-14,0-1,1-2,,,,31-62,3-9,16-18,0,7,0,40,18,0,32,22
2025-12-17_portland_st_seattle_u,Seattle U,6-20,1-5,1-2,10-12,2-3,0-0,6-17,1-2,2-4,3-14,1-3,4-7,,,,25-63,5-13,7-13,0,12,10,30,2,10,16,6
2025-12-17_portland_st_seattle_u,Portland St.,8-17,3-8,0-0,8-19,1-9,0-3,8-16,3-4,3-4,9-19,5-8,4-5,,,,33-71,12-29,7-12,0,12,10,38,13,10,19,19
2025-12-21_portland_st_portland,Portland,13-15,5-6,4-4,10-22,2-5,1-1,9-15,0-1,5-7,7-12,1-4,2-2,,,,39-64,8-16,12-14,0,14,0,58,19,0,35,40
2025-12-21_portland_st_portland,Portland St.,4-10,0-2,4-4,3-16,0-3,1-2,7-20,0-3,4-8,6-11,0-0,4-9,,,,20-57,0-8,13-23,0,7,0,28,3,0,15,25
2026-01-01_portland_st_weber_st,Weber St.,3-15,1-6,1-2,9-16,3-5,5-6,4-12,1-4,6-8,3-12,0-7,3-4,,,,19-55,5-22,15-20,0,8,4,24,9,10,10,9
2026-01-01_portland_st_weber_st,Portland St.,8-19,2-6,0-0,6-16,1-5,0-0,4-17,1-4,6-6,5-10,0-1,12-15,,,,23-62,4-16,18-21,0,11,4,30,2,10,12,24
2026-01-03_portland_st_idaho_st,Idaho St.,6-14,1-3,4-4,7-18,2-6,0-0,8-16,2-7,5-5,4-14,1-4,7-9,,,,25-62,6-20,16-18,0,13,2,30,2,4,22,20
2026-01-03_portland_st_idaho_st,Portland St.,4-17,1-3,1-2,8-14,2-6,2-2,7-15,2-2,0-1,4-10,1-5,8-13,,,,23-56,6-16,11-18,0,12,2,26,2,4,13,15
2026-01-10_sacramento_st_portland_st,Portland St.,6-18,1-4,2-2,5-12,1-4,3-4,8-12,1-3,1-1,6-15,1-3,4-4,,,,25-57,4-14,10-11,0,18,2,40,7,0,16,22
2026-01-10_sacramento_st_portland_st,Sacramento St.,8-19,1-4,1-2,9-23,2-8,0-0,4-15,1-6,3-4,6-16,2-4,4-4,,,,27-73,6-22,8-10,0,17,2,38,4,0,21,7
2026-01-15_northern_colo_portland_st,Portland St.,3-9,0-2,1-2,6-13,0-1,4-9,8-13,0-4,6-8,5-15,0-5,5-8,,,,22-50,0-12,16-27,0,13,0,38,15,0,7,27
2026-01-15_northern_colo_portland_st,Northern Colo.,8-22,5-11,2-2,6-15,3-9,3-6,8-17,2-5,6-8,6-14,1-3,2-2,,,,28-68,11-28,13-18,0,10,0,28,11,0,31,33
2026-01-17_northern_ariz_portland_st,Portland St.,8-19,1-4,1-4,6-14,2-5,1-1,7-12,3-5,4-4,5-19,2-9,2-3,,,,26-64,8-23,8-12,0,14,9,36,12,14,11,27
2026-01-17_northern_ariz_portland_st,Northern Ariz.,7-13,1-5,4-4,7-20,2-5,1-1,6-16,1-5,3-4,8-15,1-3,11-11,,,,28-64,5-18,19-20,0,18,9,34,4,14,24,17
2026-01-22_portland_st_eastern_wash,Eastern Wash.,8-20,1-7,1-2,10-21,1-4,2-2,8-19,2-5,5-6,6-13,1-5,4-6,,,,32-73,5-21,12-16,0,23,4,42,6,3,14,14
2026-01-22_portland_st_eastern_wash,Portland St.,6-14,1-3,2-6,6-14,1-4,2-6,6-13,0-3,3-5,6-13,0-1,6-10,,,,24-54,2-11,13-27,0,5,4,36,7,3,12,11
2026-01-24_portland_st_idaho,Idaho,10-24,4-8,3-3,6-16,2-6,1-2,12-15,5-6,2-2,3-13,0-3,5-8,,,,31-68,11-23,11-15,0,11,0,34,17,0,17,23
2026-01-24_portland_st_idaho,Portland St.,7-17,0-4,2-2,6-17,2-9,5-6,4-14,1-6,4-6,6-15,2-5,4-5,,,,23-63,5-24,15-19,0,8,0,22,2,0,16,10
2026-01-29_montana_portland_st,Portland St.,6-15,0-4,0-0,5-17,3-9,0-0,12-23,0-3,1-1,2-15,0-6,9-10,,,,25-70,3-22,10-11,0,7,7,42,7,4,7,18
2026-01-29_montana_portland_st,Montana,9-14,0-3,1-2,2-16,0-7,0-0,8-20,2-9,5-5,6-13,0-2,11-12,,,,25-63,2-21,17-19,0,6,7,42,3,4,4,17
2026-01-31_montana_st_portland_st,Portland St.,0-11,0-5,1-2,5-14,1-4,3-6,5-11,1-3,5-6,5-12,0-2,2-2,,,,15-48,2-14,11-16,0,2,0,24,3,0,11,12
2026-01-31_montana_st_portland_st,Montana St.,13-19,4-8,1-2,9-14,1-2,2-2,11-23,5-7,2-2,5-18,0-6,0-0,,,,38-74,10-23,5-6,0,18,0,52,25,0,47,31
2026-02-02_idaho_st_portland_st,Portland St.,8-14,2-5,4-4,4-9,0-2,4-4,4-13,1-4,2-2,1-8,0-5,10-16,,,,17-44,3-16,20-26,0,3,7,22,11,6,11,10
2026-02-02_idaho_st_portland_st,Idaho St.,8-19,0-2,2-4,7-13,0-3,3-4,8-17,0-4,6-7,5-11,0-1,2-4,,,,28-60,0-10,13-19,1,14,7,38,7,6,22,13
2026-02-07_portland_st_sacramento_st,Sacramento St.,3-13,1-4,2-3,7-15,1-4,4-5,4-13,0-3,4-6,9-17,4-8,0-0,,,,23-58,6-19,10-14,0,10,8,26,4,11,18,3
2026-02-07_portland_st_sacramento_st,Portland St.,4-15,0-1,1-2,7-14,1-3,2-3,7-12,1-2,4-4,7-9,0-1,5-7,,,,25-50,2-7,12-16,1,4,8,42,5,11,14,17
2026-02-12_portland_st_northern_ariz,Northern Ariz.,6-15,2-3,6-7,8-14,1-1,0-0,8-18,2-6,2-5,6-17,1-3,8-10,2-6,0-2,6-8,30-70,6-15,22-30,0,9,8,36,11,17,15,37
2026-02-12_portland_st_northern_ariz,Portland St.,8-15,1-3,0-0,3-13,0-5,11-12,8-18,0-1,6-7,8-17,3-5,3-4,1-8,0-4,0-0,28-71,4-18,20-23,0,7,8,38,11,17,16,22
2026-02-14_portland_st_northern_colo,Northern Colo.,7-15,0-2,4-4,4-9,2-3,5-6,5-10,3-5,4-4,6-13,1-3,8-12,,,,22-47,6-13,21-26,0,10,0,30,8,0,20,19
2026-02-14_portland_st_northern_colo,Portland St.,3-11,0-4,2-3,4-13,0-3,8-9,6-14,1-4,2-2,5-9,1-2,7-11,,,,18-47,2-13,19-25,1,5,0,24,5,0,18,16
2026-02-19_idaho_portland_st,Portland St.,8-16,2-3,1-2,5-14,1-4,2-2,10-16,0-4,2-3,5-14,1-2,1-3,,,,28-60,4-13,6-10,0,6,1,34,2,2,10,26
2026-02-19_idaho_portland_st,Idaho,11-19,2-3,3-3,6-14,0-3,3-4,10-18,3-7,8-9,6-14,1-4,0-0,,,,33-65,6-17,14-16,0,13,1,50,16,2,18,23
