game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),22,"Aguilar, Jacqueline",True,40,3,19,0.158,3,14,0.214,2,2,1.0,0,1,1,1,1,3,0,0,11
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),10,"Roberts, Danielle",True,40,3,9,0.333,1,1,1.0,2,5,0.4,0,2,2,2,1,2,0,0,9
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),07,"Carter, Aaliyah",True,40,1,5,0.2,1,2,0.5,0,0,,0,4,4,2,3,2,1,0,3
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),25,"Smith, Makaia",True,40,0,2,0.0,0,0,,0,0,,0,5,5,1,0,0,0,1,0
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),02,"Quezada, Serina",True,20,0,6,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,0,0
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),TM,TEAM,False,0,0,0,,0,0,,0,0,,1,2,3,0,0,10,0,0,0
2025-11-03_san_diego_bethesda_ca,San Diego,20,"Rhodes, Hallie",True,12,5,8,0.625,1,3,0.333,0,0,,1,1,2,0,0,0,0,0,11
2025-11-03_san_diego_bethesda_ca,San Diego,24,"Owens, Olivia",True,12,2,4,0.5,0,2,0.0,0,0,,1,0,1,0,1,1,0,1,4
2025-11-03_san_diego_bethesda_ca,San Diego,06,"Ray, Kylie",True,12,1,4,0.25,1,4,0.25,0,0,,0,1,1,0,6,2,0,0,3
2025-11-03_san_diego_bethesda_ca,San Diego,11,"Tharpe, Malia",True,10,1,3,0.333,0,0,,0,0,,2,3,5,0,0,0,0,0,2
2025-11-03_san_diego_bethesda_ca,San Diego,10,"Holley, Helen",True,6,0,3,0.0,0,0,,0,0,,3,1,4,1,0,0,1,0,0
2025-11-03_san_diego_bethesda_ca,San Diego,19,"Rhodes, Jayden",False,23,9,13,0.692,4,5,0.8,0,0,,5,3,8,0,1,1,0,1,22
2025-11-03_san_diego_bethesda_ca,San Diego,03,"Amor, Lilly",False,22,5,13,0.385,3,10,0.3,0,0,,1,1,2,1,2,0,1,0,13
2025-11-03_san_diego_bethesda_ca,San Diego,00,"Von Seipler, Ysabella",False,20,5,11,0.455,2,5,0.4,0,0,,2,4,6,1,3,0,0,1,12
2025-11-03_san_diego_bethesda_ca,San Diego,12,"Carr, Erica",False,24,3,5,0.6,0,1,0.0,2,2,1.0,2,2,4,0,2,1,1,0,8
2025-11-03_san_diego_bethesda_ca,San Diego,04,"Ajayi, Jessica",False,19,3,7,0.429,1,5,0.2,1,2,0.5,1,4,5,2,6,1,1,2,8
2025-11-03_san_diego_bethesda_ca,San Diego,15,"Ruse, Eva",False,16,3,3,1.0,0,0,,1,1,1.0,4,5,9,0,1,1,0,0,7
2025-11-03_san_diego_bethesda_ca,San Diego,01,"Moore, Dresha",False,8,1,1,1.0,0,0,,0,0,,1,1,2,1,0,0,0,1,2
2025-11-03_san_diego_bethesda_ca,San Diego,22,"Williams, Ayla",False,16,0,0,,0,0,,0,4,0.0,2,4,6,0,2,0,1,0,0
2025-11-03_san_diego_bethesda_ca,San Diego,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,0,0
2025-11-05_uc_irvine_san_diego,San Diego,06,"Ray, Kylie",True,37,7,23,0.304,3,7,0.429,6,6,1.0,4,4,8,3,1,10,0,4,23
2025-11-05_uc_irvine_san_diego,San Diego,24,"Owens, Olivia",True,25,2,7,0.286,2,5,0.4,0,0,,0,0,0,3,1,2,0,1,6
2025-11-05_uc_irvine_san_diego,San Diego,20,"Rhodes, Hallie",True,32,2,7,0.286,1,4,0.25,0,0,,2,2,4,1,1,0,0,2,5
2025-11-05_uc_irvine_san_diego,San Diego,11,"Tharpe, Malia",True,18,2,5,0.4,0,1,0.0,0,2,0.0,1,0,1,3,1,1,0,0,4
2025-11-05_uc_irvine_san_diego,San Diego,10,"Holley, Helen",True,30,1,5,0.2,0,2,0.0,1,2,0.5,2,7,9,3,0,0,2,2,3
2025-11-05_uc_irvine_san_diego,San Diego,01,"Moore, Dresha",False,22,3,6,0.5,1,1,1.0,0,1,0.0,1,1,2,4,0,0,0,0,7
2025-11-05_uc_irvine_san_diego,San Diego,15,"Ruse, Eva",False,10,2,2,1.0,0,0,,2,4,0.5,2,0,2,3,1,1,0,0,6
2025-11-05_uc_irvine_san_diego,San Diego,19,"Rhodes, Jayden",False,14,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,1,0,1,1,0
2025-11-05_uc_irvine_san_diego,San Diego,04,"Ajayi, Jessica",False,7,0,2,0.0,0,1,0.0,0,0,,1,1,2,2,0,1,0,0,0
2025-11-05_uc_irvine_san_diego,San Diego,03,"Amor, Lilly",False,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-05_uc_irvine_san_diego,San Diego,22,"Williams, Ayla",False,2,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0
2025-11-05_uc_irvine_san_diego,San Diego,TM,TEAM,False,0,0,0,,0,0,,0,0,,1,3,4,0,0,1,0,0,0
2025-11-05_uc_irvine_san_diego,UC Irvine,23,"Wynn, Jada",True,36,3,10,0.3,2,8,0.25,9,9,1.0,0,6,6,2,7,0,0,1,17
2025-11-05_uc_irvine_san_diego,UC Irvine,20,"Hernandez, Hunter",True,25,4,12,0.333,3,5,0.6,2,2,1.0,2,4,6,0,2,3,0,0,13
2025-11-05_uc_irvine_san_diego,UC Irvine,10,"Madsen, Lauryn",True,34,4,8,0.5,4,8,0.5,0,0,,1,7,8,0,3,2,1,1,12
2025-11-05_uc_irvine_san_diego,UC Irvine,12,"Nahum, Shirel",True,34,1,7,0.143,0,1,0.0,4,6,0.667,0,3,3,1,4,3,0,3,6
2025-11-05_uc_irvine_san_diego,UC Irvine,09,"Falcon Hernandez, Daniela",True,15,1,2,0.5,0,0,,2,2,1.0,0,4,4,2,0,2,1,1,4
2025-11-05_uc_irvine_san_diego,UC Irvine,13,"Stores, Nohealani",False,25,7,8,0.875,0,0,,3,5,0.6,4,1,5,2,0,1,0,2,17
2025-11-05_uc_irvine_san_diego,UC Irvine,24,"Zonzon-Huyghe, Naomy",False,22,0,0,,0,0,,3,4,0.75,1,1,2,4,0,2,0,2,3
2025-11-05_uc_irvine_san_diego,UC Irvine,01,"Grant, Ameerah",False,5,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,0,0
2025-11-05_uc_irvine_san_diego,UC Irvine,02,"Hernandez, Haley",False,2,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
2025-11-05_uc_irvine_san_diego,UC Irvine,21,"Baltzi, Despoina",False,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-05_uc_irvine_san_diego,UC Irvine,22,"Noa, Reese",False,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2025-11-05_uc_irvine_san_diego,UC Irvine,TM,TEAM,False,0,0,0,,0,0,,0,0,,2,1,3,0,0,1,0,0,0
2025-11-08_csun_san_diego,San Diego,06,"Ray, Kylie",True,38,7,22,0.318,3,7,0.429,3,4,0.75,1,8,9,2,3,9,0,3,20
2025-11-08_csun_san_diego,San Diego,20,"Rhodes, Hallie",True,30,5,12,0.417,0,1,0.0,4,5,0.8,2,3,5,2,2,1,2,1,14
2025-11-08_csun_san_diego,San Diego,10,"Holley, Helen",True,28,1,4,0.25,0,2,0.0,0,2,0.0,1,1,2,3,1,3,1,3,2
