game_id,period,time_remaining,team,player,play,away_score,home_score
2025-11-03_san_diego_bethesda_ca,1,09:47,San Diego,"RAY,KYLIE","MISS 3PTR by RAY,KYLIE",,
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"HOLLEY,HELEN","REBOUND OFF by HOLLEY,HELEN",,
2025-11-03_san_diego_bethesda_ca,1,09:43,San Diego,"HOLLEY,HELEN","MISS LAYUP by HOLLEY,HELEN(in the paint)",,
2025-11-03_san_diego_bethesda_ca,1,--,Bethesda (CA),"SMITH,MAKAIA","REBOUND DEF by SMITH,MAKAIA",,
2025-11-03_san_diego_bethesda_ca,1,09:23,Bethesda (CA),"QUEZADA,SERINA","MISS 3PTR by QUEZADA,SERINA",,
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,TEAM,REBOUND DEF by TEAM,,
2025-11-03_san_diego_bethesda_ca,1,09:10,San Diego,"OWENS,OLIVIA","MISS 3PTR by OWENS,OLIVIA",,
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"THARPE,MALIA","REBOUND OFF by THARPE,MALIA",,
2025-11-03_san_diego_bethesda_ca,1,09:07,San Diego,"THARPE,MALIA","MISS LAYUP by THARPE,MALIA(in the paint)",,
2025-11-03_san_diego_bethesda_ca,1,--,Bethesda (CA),"CARTER,AALIYAH","REBOUND DEF by CARTER,AALIYAH",,
2025-11-03_san_diego_bethesda_ca,1,08:32,Bethesda (CA),"AGUILAR,JACQUELINE","MISS JUMPER by AGUILAR,JACQUELINE",,
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"HOLLEY,HELEN","REBOUND DEF by HOLLEY,HELEN",,
2025-11-03_san_diego_bethesda_ca,1,08:25,San Diego,"RHODES,HALLIE","GOOD LAYUP by RHODES,HALLIE(fastbreak)(in the paint)",0,2
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"RAY,KYLIE","ASSIST by RAY,KYLIE",,
2025-11-03_san_diego_bethesda_ca,1,08:02,Bethesda (CA),"ROBERTS,DANIELLE","TURNOVER by ROBERTS,DANIELLE",,
2025-11-03_san_diego_bethesda_ca,1,08:02,San Diego,"OWENS,OLIVIA","STEAL by OWENS,OLIVIA",,
2025-11-03_san_diego_bethesda_ca,1,07:58,San Diego,"OWENS,OLIVIA","GOOD LAYUP by OWENS,OLIVIA(fastbreak)(in the paint)",0,4
2025-11-03_san_diego_bethesda_ca,1,07:36,Bethesda (CA),"AGUILAR,JACQUELINE","MISS JUMPER by AGUILAR,JACQUELINE",,
2025-11-03_san_diego_bethesda_ca,1,07:36,San Diego,"HOLLEY,HELEN","BLOCK by HOLLEY,HELEN",,
2025-11-03_san_diego_bethesda_ca,1,--,Bethesda (CA),TEAM,REBOUND OFF by TEAM,,
2025-11-03_san_diego_bethesda_ca,1,07:23,Bethesda (CA),TEAM,TURNOVER by TEAM,,
2025-11-03_san_diego_bethesda_ca,1,07:12,San Diego,"OWENS,OLIVIA","TURNOVER by OWENS,OLIVIA",,
2025-11-03_san_diego_bethesda_ca,1,07:01,Bethesda (CA),"QUEZADA,SERINA","MISS JUMPER by QUEZADA,SERINA",,
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"THARPE,MALIA","REBOUND DEF by THARPE,MALIA",,
2025-11-03_san_diego_bethesda_ca,1,06:54,San Diego,"RHODES,HALLIE","GOOD LAYUP by RHODES,HALLIE(fastbreak)(in the paint)",0,6
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"RAY,KYLIE","ASSIST by RAY,KYLIE",,
2025-11-03_san_diego_bethesda_ca,1,06:31,Bethesda (CA),"CARTER,AALIYAH","MISS JUMPER by CARTER,AALIYAH",,
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"THARPE,MALIA","REBOUND DEF by THARPE,MALIA",,
2025-11-03_san_diego_bethesda_ca,1,06:23,San Diego,"RHODES,HALLIE","GOOD LAYUP by RHODES,HALLIE(fastbreak)(in the paint)",0,8
2025-11-03_san_diego_bethesda_ca,1,--,San Diego,"RAY,KYLIE","ASSIST by RAY,KYLIE",,
2025-11-03_san_diego_bethesda_ca,1,06:06,San Diego,"HOLLEY,HELEN","SUB OUT by HOLLEY,HELEN",,
2025-11-03_san_diego_bethesda_ca,1,06:06,San Diego,"THARPE,MALIA","SUB OUT by THARPE,MALIA",,
2025-11-03_san_diego_bethesda_ca,1,06:06,San Diego,"MOORE,DRESHA","SUB IN by MOORE,DRESHA",,
2025-11-03_san_diego_bethesda_ca,1,06:06,San Diego,"RUSE,EVA","SUB IN by RUSE,EVA",,
2025-11-03_san_diego_bethesda_ca,1,05:52,San Diego,"MOORE,DRESHA","FOUL by MOORE,DRESHA",,
2025-11-03_san_diego_bethesda_ca,1,05:52,Bethesda (CA),"ROBERTS,DANIELLE","GOOD FT by ROBERTS,DANIELLE",1,8
2025-11-03_san_diego_bethesda_ca,1,05:52,Bethesda (CA),"ROBERTS,DANIELLE","MISS FT by ROBERTS,DANIELLE",,
