game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-03_san_diego_bethesda_ca,Bethesda (CA),0-11,0-3,1-2,2-10,2-5,2-2,1-11,1-7,0-0,4-9,2-3,1-3,7-41,5-18,4-7,0,0,0,2,0,0,3,0
2025-11-03_san_diego_bethesda_ca,San Diego,9-19,0-7,1-1,10-23,2-10,0-2,11-17,6-9,1-2,8-16,4-9,2-4,38-75,12-35,4-9,0,22,0,52,34,0,40,72
2025-11-05_uc_irvine_san_diego,San Diego,4-14,2-5,0-0,7-20,2-8,1-2,6-13,3-6,3-4,2-12,0-4,5-9,19-59,7-23,9-15,0,12,1,20,9,0,20,13
2025-11-05_uc_irvine_san_diego,UC Irvine,8-20,4-8,1-2,2-8,1-6,6-8,7-10,3-4,11-11,3-11,1-5,5-7,20-49,9-23,23-28,0,7,1,18,4,0,13,20
2025-11-08_csun_san_diego,San Diego,7-16,1-3,2-2,5-9,1-2,3-6,3-18,0-7,2-4,2-13,1-4,4-9,17-56,3-16,11-21,0,10,2,18,5,3,17,10
2025-11-08_csun_san_diego,CSUN,8-18,3-6,1-1,5-16,2-6,3-3,6-17,2-6,2-2,4-13,2-7,2-3,23-64,9-25,8-9,1,22,2,28,13,3,13,26
2025-11-13_san_diego_arizona_st,Arizona St.,7-12,4-5,3-4,7-14,3-7,2-3,8-16,4-5,0-0,8-16,3-5,0-0,30-58,14-22,5-7,0,9,1,30,6,5,22,14
2025-11-13_san_diego_arizona_st,San Diego,5-14,0-3,4-4,4-15,2-5,0-2,4-13,2-5,5-8,3-13,2-4,0-4,16-55,6-17,9-18,0,8,1,18,4,5,10,8
2025-11-17_colorado_st_san_diego,San Diego,5-14,1-3,1-1,1-10,1-3,1-2,4-14,0-2,7-10,4-13,1-6,4-6,14-51,3-14,13-19,0,7,1,14,3,1,9,15
2025-11-17_colorado_st_san_diego,Colorado St.,6-15,2-7,0-1,7-16,2-6,0-0,7-9,3-4,5-8,7-12,4-7,1-3,27-52,11-24,6-12,0,0,1,24,10,1,26,25
2025-11-24_san_diego_new_mexico_st,New Mexico St.,4-15,1-5,3-4,4-12,0-1,4-5,3-9,0-3,1-3,7-15,1-4,2-4,18-51,2-13,10-16,0,8,5,28,13,7,10,29
2025-11-24_san_diego_new_mexico_st,San Diego,5-19,1-6,0-0,4-13,1-5,1-2,6-15,1-4,5-8,6-17,2-3,4-10,21-64,5-18,10-20,0,11,5,24,14,7,26,22
2025-11-29_little_rock_san_diego,San Diego,5-14,1-4,1-2,2-15,0-5,0-0,5-13,1-3,2-2,2-16,2-6,2-4,14-58,4-18,5-8,0,7,5,16,2,5,4,18
2025-11-29_little_rock_san_diego,Little Rock,6-18,0-3,0-1,4-12,0-1,0-3,6-14,2-4,7-7,5-13,0-1,0-0,21-57,2-9,7-11,0,15,5,28,4,5,11,14
2025-11-30_san_diego_southeast_mo_st,Southeast Mo. St.,5-16,1-3,0-2,6-17,3-5,0-0,3-13,0-6,4-4,7-12,1-3,4-4,21-58,5-17,8-10,0,2,0,28,9,3,14,8
2025-11-30_san_diego_southeast_mo_st,San Diego,4-20,2-6,6-6,8-15,1-6,0-0,3-13,0-4,0-2,8-16,1-3,9-12,23-64,4-19,15-20,0,20,0,34,24,3,19,28
2025-12-03_san_diego_binghamton,Binghamton,6-16,0-4,0-3,7-12,2-3,0-0,5-13,1-5,4-6,7-11,3-6,3-4,25-52,6-18,7-13,0,8,2,32,11,3,19,27
2025-12-03_san_diego_binghamton,San Diego,2-13,0-4,2-2,7-13,1-2,3-4,5-16,1-5,4-4,5-14,0-5,6-7,19-56,2-16,15-17,0,13,2,32,8,3,13,15
2025-12-07_san_diego_utah_st,Utah St.,6-12,3-6,4-4,6-15,1-6,3-3,5-10,0-2,2-3,7-20,3-12,2-3,24-57,7-26,11-13,0,12,1,26,14,0,14,20
2025-12-07_san_diego_utah_st,San Diego,10-19,4-6,1-1,5-9,0-2,10-14,3-12,2-5,3-4,2-9,0-4,10-16,20-49,6-17,24-35,0,15,1,20,24,0,19,10
2025-12-10_wisconsin_san_diego,San Diego,4-13,2-4,2-4,5-10,1-1,1-2,3-9,1-1,1-2,5-12,1-4,3-5,17-44,5-10,7-13,1,5,2,14,4,1,12,27
2025-12-10_wisconsin_san_diego,Wisconsin,8-19,4-10,6-6,3-16,1-7,2-2,9-15,3-5,4-4,5-15,0-9,4-7,25-65,8-31,16-19,0,21,2,30,7,1,33,43
2025-12-14_san_diego_uc_riverside,UC Riverside,6-14,2-4,2-2,5-15,3-9,4-4,2-13,0-8,2-2,5-19,3-9,4-5,18-61,8-30,12-13,0,15,2,16,0,2,9,14
2025-12-14_san_diego_uc_riverside,San Diego,9-18,4-7,0-0,5-13,1-4,3-4,5-13,1-2,3-3,4-8,1-1,4-6,23-52,7-14,10-13,0,12,2,24,3,2,5,16
2025-12-20_san_diego_cal_st_fullerton,Cal St. Fullerton,6-14,1-1,3-4,2-10,1-3,2-6,6-23,0-6,3-6,7-20,1-5,2-3,21-67,3-15,10-19,0,19,7,34,4,1,21,9
2025-12-20_san_diego_cal_st_fullerton,San Diego,6-13,1-4,3-3,6-12,4-6,0-0,1-6,0-1,7-10,6-14,2-5,1-1,19-45,7-16,11-14,0,23,7,20,8,1,10,18
2025-12-28_santa_clara_san_diego,San Diego,5-16,0-5,0-2,1-15,0-4,2-4,7-21,3-8,2-5,5-15,0-4,3-4,18-67,3-21,7-15,0,10,0,26,5,1,5,13
2025-12-28_santa_clara_san_diego,Santa Clara,4-16,1-7,4-4,6-20,3-7,4-6,7-20,3-11,4-7,5-18,2-8,3-5,22-74,9-33,15-22,0,12,0,26,20,1,17,25
2025-12-30_pacific_san_diego,San Diego,7-17,2-5,6-7,3-11,1-6,0-0,9-15,1-4,5-7,4-16,1-6,6-9,23-59,5-21,17-23,0,10,6,30,8,4,11,14
2025-12-30_pacific_san_diego,Pacific,9-16,1-2,2-2,4-13,1-5,8-13,7-15,1-4,6-6,4-9,1-2,4-12,24-53,4-13,20-33,0,13,6,34,6,4,15,24
2026-01-02_san_diego_san_francisco,San Francisco,7-15,2-6,0-1,4-11,3-8,3-6,4-11,1-3,4-8,6-12,1-4,3-4,21-49,7-21,10-19,0,13,0,24,10,0,13,5
2026-01-02_san_diego_san_francisco,San Diego,5-18,0-3,1-1,4-20,0-7,0-0,8-16,1-3,2-3,6-12,4-6,1-3,23-66,5-19,4-7,0,4,0,28,11,0,15,16
2026-01-04_san_diego_saint_marys_ca,Saint Mary's (CA),7-16,2-6,0-0,8-13,0-2,2-2,4-16,2-9,0-1,2-8,1-5,8-8,21-53,5-22,10-11,0,4,0,24,18,0,16,26
2026-01-04_san_diego_saint_marys_ca,San Diego,2-13,1-6,3-4,5-17,0-7,1-2,4-10,0-4,0-0,8-16,2-7,4-4,19-56,3-24,8-10,0,4,0,26,11,0,11,18
2026-01-08_seattle_u_san_diego,San Diego,6-21,1-3,2-3,5-16,0-6,0-0,7-11,0-0,5-6,6-19,2-8,4-4,24-67,3-17,11-13,0,11,3,32,12,4,22,19
2026-01-08_seattle_u_san_diego,Seattle U,4-10,2-6,6-6,5-17,1-6,1-2,3-12,2-6,6-6,9-10,4-4,4-5,21-49,9-22,17-19,0,4,3,16,9,4,6,12
2026-01-10_san_diego_pepperdine,Pepperdine,6-13,0-4,0-0,5-15,1-5,4-4,8-18,1-4,0-2,2-14,0-5,3-4,21-60,2-18,7-10,0,6,5,32,13,6,14,10
2026-01-10_san_diego_pepperdine,San Diego,3-14,0-4,0-0,5-16,1-2,6-6,6-16,0-2,1-2,7-12,1-1,3-4,21-58,2-9,10-12,0,4,5,34,10,6,12,16
2026-01-17_gonzaga_san_diego,San Diego,4-14,0-1,3-4,3-17,1-3,0-0,4-10,0-1,1-2,7-16,1-4,0-0,18-57,2-9,4-6,0,10,0,22,0,0,9,15
2026-01-17_gonzaga_san_diego,Gonzaga,11-21,3-8,0-0,5-12,4-7,2-2,10-16,0-2,2-2,9-14,5-8,1-1,35-63,12-25,5-5,0,14,0,36,8,0,19,49
2026-01-22_san_francisco_san_diego,San Diego,5-15,2-7,2-3,4-15,0-3,5-5,8-13,1-4,7-9,5-18,2-4,2-5,22-61,5-18,16-22,0,15,7,24,9,6,19,2
2026-01-22_san_francisco_san_diego,San Francisco,9-17,2-4,1-1,3-13,1-4,4-7,4-10,3-5,7-8,5-12,0-2,9-12,21-52,6-15,21-28,1,11,7,26,8,6,15,15
2026-01-24_san_diego_lmu_ca,LMU (CA),7-17,0-4,1-2,6-18,2-5,2-3,5-11,0-0,6-6,3-18,1-10,6-8,21-64,3-19,15-19,0,13,5,22,11,5,16,9
2026-01-24_san_diego_lmu_ca,San Diego,5-14,0-1,2-2,7-15,1-1,2-2,8-13,1-2,2-2,6-11,2-2,7-11,26-53,4-6,13-17,0,7,5,30,24,5,14,17
2026-01-29_oregon_st_san_diego,San Diego,6-17,2-4,1-2,7-17,1-5,0-0,1-12,0-4,5-10,3-13,0-3,0-2,17-59,3-16,6-14,0,4,5,16,8,6,11,28
2026-01-29_oregon_st_san_diego,Oregon St.,7-13,2-5,2-4,5-11,2-3,2-2,4-16,0-6,4-5,5-8,2-3,5-8,21-48,6-17,13-19,0,3,5,26,0,6,7,9
