game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2025-11-05_san_francisco_unc_greensboro,2025-11-05,San Francisco,UNC Greensboro,64,40,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/unc-greensboro/boxscore/8731
2025-11-09_boise_st_san_francisco,2025-11-09,Boise St.,San Francisco,83,68,Boise St.,"Boise, Idaho",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/boise-state/boxscore/8732
2025-11-14_san_francisco_seton_hall,2025-11-14,San Francisco,Seton Hall,66,80,Seton Hall,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/seton-hall/boxscore/8733
2025-11-16_san_francisco_uc_san_diego,2025-11-16,San Francisco,UC San Diego,80,69,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/uc-san-diego/boxscore/8734
2025-11-20_long_beach_st_san_francisco,2025-11-20,Long Beach St.,San Francisco,55,68,San Francisco,"Long Beach, Calif.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/long-beach-state/boxscore/8735
2025-11-25_san_francisco_lehigh,2025-11-25,San Francisco,Lehigh,89,84,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/lehigh/boxscore/8736
2025-11-30_san_francisco_cal_st_monterey_bay,2025-11-30,San Francisco,Cal St. Monterey Bay,92,52,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/csu-monterey-bay/boxscore/8737
2025-12-05_nevada_san_francisco,2025-12-05,Nevada,San Francisco,45,68,San Francisco,"Tempe, Ariz",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/nevada/boxscore/8738
2025-12-06_arizona_st_san_francisco,2025-12-06,Arizona St.,San Francisco,67,44,Arizona St.,"Tempe, Ariz",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/arizona-state/boxscore/8739
2025-12-13_san_francisco_colorado_st,2025-12-13,San Francisco,Colorado St.,52,69,Colorado St.,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/colorado-state/boxscore/8740
2025-12-17_san_francisco_sacramento_st,2025-12-17,San Francisco,Sacramento St.,61,55,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/sacramento-state/boxscore/8741
2025-12-28_san_francisco_oregon_st,2025-12-28,San Francisco,Oregon St.,65,74,Oregon St.,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/oregon-state/boxscore/8760
2025-12-30_san_francisco_portland,2025-12-30,San Francisco,Portland,67,64,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/portland/boxscore/8761
2026-01-02_san_diego_san_francisco,2026-01-02,San Diego,San Francisco,55,59,San Francisco,"San Diego, Calif.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/san-diego/boxscore/8762
2026-01-04_lmu_ca_san_francisco,2026-01-04,LMU (CA),San Francisco,82,85,San Francisco,"Los Angeles, Calif.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/lmu/boxscore/8763
2026-01-08_san_francisco_santa_clara,2026-01-08,San Francisco,Santa Clara,67,77,Santa Clara,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/santa-clara/boxscore/8764
2026-01-15_gonzaga_san_francisco,2026-01-15,Gonzaga,San Francisco,82,69,Gonzaga,"Spokane, Wash.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/gonzaga/boxscore/8765
2026-01-17_washington_st_san_francisco,2026-01-17,Washington St.,San Francisco,72,85,San Francisco,"Pullman, Wash.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/washington-state/boxscore/8766
2026-01-22_san_francisco_san_diego,2026-01-22,San Francisco,San Diego,69,65,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/san-diego/boxscore/8767
2026-01-24_san_francisco_pacific,2026-01-24,San Francisco,Pacific,68,61,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/pacific/boxscore/8768
2026-01-29_san_francisco_gonzaga,2026-01-29,San Francisco,Gonzaga,66,74,Gonzaga,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/gonzaga/boxscore/8769
2026-01-31_oregon_st_san_francisco,2026-01-31,Oregon St.,San Francisco,75,53,Oregon St.,"Corvallis, Ore.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/oregon-state/boxscore/8770
2026-02-05_seattle_u_san_francisco,2026-02-05,Seattle U,San Francisco,67,76,San Francisco,"Seattle, Wash.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/seattle-u/boxscore/8771
2026-02-07_san_francisco_saint_marys_ca,2026-02-07,San Francisco,Saint Mary's (CA),55,72,Saint Mary's (CA),"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/saint-mary-s/boxscore/8772
2026-02-14_san_francisco_pepperdine,2026-02-14,San Francisco,Pepperdine,81,70,San Francisco,"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/pepperdine/boxscore/8773
2026-02-19_pacific_san_francisco,2026-02-19,Pacific,San Francisco,73,51,Pacific,"Stockton, Calif.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/pacific/boxscore/8774
2026-02-21_saint_marys_ca_san_francisco,2026-02-21,Saint Mary's (CA),San Francisco,60,61,San Francisco,"Moraga, Calif.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/saint-mary-s/boxscore/8775
2026-02-26_san_francisco_lmu_ca,2026-02-26,San Francisco,LMU (CA),57,66,LMU (CA),"San Francisco, Calif.",home,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/lmu/boxscore/8776
2026-02-28_santa_clara_san_francisco,2026-02-28,Santa Clara,San Francisco,90,82,Santa Clara,"Santa Clara, Calif.",away,False,2025-26,https://usfdons.com/sports/womens-basketball/stats/2025-26/santa-clara/boxscore/8777
