game_id,period,time_remaining,team,player,play,away_score,home_score
2025-11-05_san_francisco_unc_greensboro,1,09:47,UNC Greensboro,"EDOKPAIGBE,CANDY","MISS LAYUP by EDOKPAIGBE,CANDY",,
2025-11-05_san_francisco_unc_greensboro,1,09:44,UNC Greensboro,"MOURINO,NOELIA","REBOUND OFF by MOURINO,NOELIA",,
2025-11-05_san_francisco_unc_greensboro,1,09:42,UNC Greensboro,"EDOKPAIGBE,CANDY","GOOD LAYUP by EDOKPAIGBE,CANDY",0,2
2025-11-05_san_francisco_unc_greensboro,1,09:42,UNC Greensboro,"MOURINO,NOELIA","ASSIST by MOURINO,NOELIA",,
2025-11-05_san_francisco_unc_greensboro,1,09:15,San Francisco,"LEVINE,JENI","MISS 3PTR by LEVINE,JENI",,
2025-11-05_san_francisco_unc_greensboro,1,09:12,San Francisco,"JOHNSON,TASIA","REBOUND OFF by JOHNSON,TASIA",,
2025-11-05_san_francisco_unc_greensboro,1,09:03,San Francisco,"LEE,JAILA","MISS LAYUP by LEE,JAILA",,
2025-11-05_san_francisco_unc_greensboro,1,09:01,UNC Greensboro,"MOURINO,NOELIA","REBOUND DEF by MOURINO,NOELIA",,
2025-11-05_san_francisco_unc_greensboro,1,08:54,UNC Greensboro,"MOURINO,NOELIA","GOOD LAYUP by MOURINO,NOELIA",0,4
2025-11-05_san_francisco_unc_greensboro,1,08:54,UNC Greensboro,"NEIRA,MARA","ASSIST by NEIRA,MARA",,
2025-11-05_san_francisco_unc_greensboro,1,08:38,San Francisco,"ASIDANYA,MAKIAH","MISS 3PTR by ASIDANYA,MAKIAH",,
2025-11-05_san_francisco_unc_greensboro,1,08:35,UNC Greensboro,"NEIRA,MARA","REBOUND DEF by NEIRA,MARA",,
2025-11-05_san_francisco_unc_greensboro,1,08:24,UNC Greensboro,"MCINTYRE,MEGHAN","GOOD LAYUP by MCINTYRE,MEGHAN",0,6
2025-11-05_san_francisco_unc_greensboro,1,08:24,UNC Greensboro,"MOURINO,NOELIA","ASSIST by MOURINO,NOELIA",,
2025-11-05_san_francisco_unc_greensboro,1,07:53,San Francisco,"LEVINE,JENI","GOOD 3PTR by LEVINE,JENI",3,6
2025-11-05_san_francisco_unc_greensboro,1,07:30,UNC Greensboro,"MOURINO,NOELIA","GOOD LAYUP by MOURINO,NOELIA",3,8
2025-11-05_san_francisco_unc_greensboro,1,07:30,UNC Greensboro,"CARGOL,AINA","ASSIST by CARGOL,AINA",,
2025-11-05_san_francisco_unc_greensboro,1,07:00,San Francisco,"JOHNSON,TASIA","MISS LAYUP by JOHNSON,TASIA",,
2025-11-05_san_francisco_unc_greensboro,1,06:57,San Francisco,"LEE,JAILA","REBOUND OFF by LEE,JAILA",,
2025-11-05_san_francisco_unc_greensboro,1,06:55,San Francisco,TEAM,TURNOVER by TEAM,,
