game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-05_san_francisco_unc_greensboro,UNC Greensboro,6-16,3-6,0-0,1-17,0-6,1-2,5-16,4-9,6-6,0-17,0-10,2-2,12-66,7-31,9-10,0,0,1,8,2,2,13,2
2025-11-05_san_francisco_unc_greensboro,San Francisco,9-13,0-3,4-4,4-14,2-4,1-2,6-10,1-4,4-4,6-20,1-3,1-2,25-57,4-14,10-12,0,5,1,42,10,2,16,12
2025-11-09_boise_st_san_francisco,San Francisco,4-12,2-7,2-2,8-16,3-4,2-4,8-18,2-6,0-0,5-15,2-8,5-16,25-61,9-25,9-22,0,4,1,28,10,0,19,29
2025-11-09_boise_st_san_francisco,Boise St.,8-18,2-5,0-0,7-17,2-6,2-2,6-14,0-2,9-10,8-13,6-6,4-4,29-62,10-19,15-16,0,10,1,28,11,0,26,4
2025-11-14_san_francisco_seton_hall,Seton Hall,7-16,1-5,2-2,8-19,1-3,5-5,8-18,1-7,2-3,7-12,2-3,6-8,30-65,5-18,15-18,0,12,1,42,9,1,21,23
2025-11-14_san_francisco_seton_hall,San Francisco,3-17,0-5,0-0,3-10,1-3,2-2,11-14,5-7,3-5,8-19,1-7,4-6,25-60,7-22,9-13,0,8,1,34,25,1,20,19
2025-11-16_san_francisco_uc_san_diego,UC San Diego,4-15,0-2,5-6,8-16,1-4,4-5,7-16,3-7,0-2,6-19,2-9,4-4,25-66,6-22,13-17,1,2,0,34,15,0,24,27
2025-11-16_san_francisco_uc_san_diego,San Francisco,9-18,0-6,0-0,11-21,1-10,3-3,10-20,3-7,0-0,3-11,1-3,6-8,33-70,5-26,9-11,0,15,0,52,15,0,14,23
2025-11-20_long_beach_st_san_francisco,San Francisco,6-18,2-7,3-5,10-15,2-5,2-3,6-19,1-6,0-1,6-20,1-7,1-2,28-72,6-25,6-11,0,15,0,40,14,2,15,19
2025-11-20_long_beach_st_san_francisco,Long Beach St.,7-16,1-6,1-2,5-16,2-6,2-2,8-16,1-2,2-2,1-8,0-2,4-6,21-56,4-16,9-12,0,6,0,20,10,2,9,2
2025-11-25_san_francisco_lehigh,Lehigh,7-18,3-10,1-2,6-17,3-12,2-2,5-15,3-10,7-8,11-22,2-6,5-5,29-72,11-38,15-17,0,22,6,34,18,3,20,11
2025-11-25_san_francisco_lehigh,San Francisco,7-14,3-7,1-2,8-14,2-5,3-4,10-14,1-3,7-10,6-14,2-6,8-16,31-56,8-21,19-32,0,9,6,46,22,3,20,26
2025-11-30_san_francisco_cal_st_monterey_bay,Cal St. Monterey Bay,5-14,3-5,0-0,2-15,0-3,2-2,4-15,1-5,2-4,6-14,3-7,7-8,17-58,7-20,11-14,0,9,0,18,8,3,17,28
