id,name,team,conf,confName,pos,cls,eligibility,class_year_review_needed,class_year_review_note,heightIn,gp,mpg,ppg,rpg,apg,spg,bpg,tov,fg,tp,ft,ts,efg,usg,three_share,ast_tov,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,assist_creation,dreb_arch,dreb_source,bpm,porpag,adjoe,drtg,adrtg,dporpag,stops_per_40,has_season_row,has_pbp_row,orb_pct,drb_pct,ast_pct,to_pct,blk_pct,stl_pct,ft_rate,three_pa_per_100,ftm,fta,twopm,twopa,twop_pct,tpm,tpa,rimmade,rimatt,rim_pct,midmade,midatt,mid_pct,rim_attempted,mid_attempted,three_attempted,total_attempted,rim_pct_of_total_attempts,mid_pct_of_total_attempts,three_pct_of_total_attempts,pct_rim_made_assisted,pct_mid_made_assisted,pct_three_made_assisted,pct_assist_creation,pct_three_pct,pct_three_rate,pct_ast_tov,pct_efg,pct_dreb,pct_dreb_pos_adj,pct_size,stretch_big_height_gate,meets_high_assist,meets_efg_500,meets_3p_300,meets_high_ast_tov,meets_positive_ast_tov,meets_dreb_profile,meets_pg_preferred,meets_wing_preferred,meets_big_preferred,score_pg_combo,score_wing_2_4,score_stretch_big,primary_score_col,primary_score,primary_archetype,transfer_available,transfer_status,transfer_from,transfer_to,arch_pca_PC1,arch_pca_PC2,arch_pca_PC3,arch_pca_PC4,arch_pca_PC5,arch_pca_PC6,arch_pca_PC7,arch_pca_PC8,arch_pca_PC9,arch_pca_PC10
78468,Aimee Flippen,Abilene Christian,WAC,WAC,F/C,SO,2,False,,76.0,23.0,6.0615,1.4615,1.3077,0.2308,0.1538,0.2308,0.3461999826900009,0.47368421052631576,0.0,0.333,0.4705,0.474,0.171,0.05263157894736842,0.6666667,9.644477439577663,8.629547141796586,1.523055349335973,1.0149302977810772,1.523055349335973,2.2845829097748145,9.2,16.3,DRB_%,-1.77777,0.238371,87.4755,89.2903,92.1743,0.550274,8.003815958885195,True,True,0.10400000000000001,0.163,0.092,0.217,0.05,0.8,7.9,0.824865,1.0,3.0,18.0,36.0,0.5,0.0,2.0,15.0,27.0,0.5556,3.0,9.0,0.3333,27.0,9.0,2.0,38.0,0.7105263157894737,0.2368421052631578,0.0526315789473684,0.6,1.0,0.0,42.49733191035219,12.742796157950906,20.458911419423693,45.357524012806834,65.95517609391676,78.01494130202775,48.57697283311772,96.32870864461046,60.0,False,False,False,False,False,True,False,False,False,36.15848452508004,38.28707263968985,48.80841735687235,score_stretch_big,48.80841735687235,Stretch Big,False,,,,1.6549571297026806,1.2673699922902428,-0.14840562105131003,0.8476512540944884,-0.8780414056530127,-0.04787296929648545,0.031972985946946655,-0.2688663772921928,-0.03758696398651002,-0.9053967179965301
71616,Breanna Davis,Abilene Christian,WAC,WAC,G,SR,4,False,,66.0,32.0,27.8914,5.5429,1.7143,2.7714,0.8571,0.0857,2.2571001228162504,0.37333333333333335,0.362,0.698,0.502,0.457,0.142,0.46,1.22785869,7.949260345482837,2.4585356059573917,3.9745584660504667,1.2291960962877444,0.12290526829058418,3.2369836190599974,17.1,6.1,DRB_%,-3.43068,0.048088,76.6862,93.844,95.6557,2.23459,6.649764802053681,True,True,1.0,0.061,0.171,0.33899999999999997,0.3,0.016,35.3,4.38426,37.0,53.0,31.0,81.0,0.383,25.0,69.0,29.0,68.0,0.4265,2.0,13.0,0.1538,68.0,13.0,69.0,150.0,0.4533333333333333,0.0866666666666666,0.46,0.2068965517241379,0.5,0.96,80.51227321237994,85.80576307363927,68.14300960512273,82.19850586979722,58.86872998932764,11.344717182497332,19.460227272727273,8.32443970117396,60.0,True,False,True,True,True,False,True,False,False,85.88847385272145,54.08033072183952,43.52163274958766,score_pg_combo,85.88847385272145,PG / Combo Guard,False,,,,-2.054458521906839,-0.39990652312989944,0.781946095853387,0.2798658732420826,0.04962528996782569,5.819924963871511,-0.0012293274671298987,-0.5645509773894788,-0.18869675552040824,-0.4824246616113483
80574,Bree Riley,Abilene Christian,WAC,WAC,G,FR,1,False,,65.0,10.0,3.7538,0.6154,0.4615,0.5385,0.3846,0.0,0.4614999791446574,0.0,0.0,0.0,0.0,0.0,0.235,0.2857142857142857,1.16684729,6.557621610101763,4.917683414140338,5.738185305557035,4.09824710959561,0.0,4.917683191908545,21.3,0.0,DRB_%,-16.8401,-0.413748,26.3117,93.7308,97.5064,0.171627,4.141105013586232,True,True,0.094,0.0,0.213,0.41600000000000004,0.0,0.024,0.0,4.77553,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,7.0,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,89.69050160085379,12.742796157950906,45.04802561366062,80.0213447171825,2.113127001067236,1.5154749199573105,1.7329545454545454,4.4397011739594445,60.0,True,False,False,True,True,False,False,False,False,56.91302027748132,25.162362350829536,18.93770920248375,score_pg_combo,56.91302027748132,PG / Combo Guard,False,,,,-3.2360897214374376,-1.982324424745477,-3.4174968523513507,-0.74825939459727,-1.0998248382152074,0.0841570975275072,0.7237643351865617,0.12667183225308223,-1.9444820021773654,-0.4028855935381504
81212,Emma Daugherty,Abilene Christian,WAC,WAC,G/F,FR,1,False,,73.0,19.0,8.7682,0.8636,1.6818,0.1364,0.4545,0.0455,0.409100003686099,0.17647058823529413,0.0,0.5,0.2132,0.17600000000000002,0.08800000000000001,0.11764705882352941,0.33341481,3.9396911566798205,7.672270249310007,0.6222485800962569,2.0734016103647273,0.2075682580233115,1.8662895631308547,1.2,18.0,DRB_%,-6.5226,-0.976227,40.3504,88.7736,89.8653,0.771594,7.235116371481154,True,True,0.068,0.18,0.012,0.312,0.8,0.019,23.5,0.782199,2.0,4.0,3.0,15.0,0.2,0.0,2.0,3.0,12.0,0.25,0.0,3.0,0.0,12.0,3.0,2.0,17.0,0.7058823529411765,0.1764705882352941,0.1176470588235294,0.6666666666666666,0.0,0.0,7.3959445037353255,12.742796157950906,25.944503735325508,17.59871931696905,5.773745997865528,84.4290288153682,81.94444444444444,74.7385272145144,60.0,False,False,False,False,False,True,False,False,False,13.125933831376736,43.07159373888297,51.46807186054785,score_stretch_big,51.46807186054785,Stretch Big,False,,,,0.05037099133037921,2.4909906742863392,-1.8028321534878233,0.256918579562557,0.16460531303557568,0.04456728213413717,0.8867373487814908,1.2581753902207082,0.24961888638690996,-0.6257306286043076
68688,Emma Troxell,Abilene Christian,WAC,WAC,G/F,JR,3,False,,72.0,32.0,30.4118,9.2941,6.3235,1.3529,1.7941,0.1471,1.2941000163787972,0.3680297397769517,0.255,0.815,0.4815,0.414,0.17300000000000001,0.3643122676579926,1.04543697,12.224333975627882,8.317166363056446,1.7794408749235495,2.3597419422724077,0.19347753174754537,1.7021024949247296,9.2,17.9,DRB_%,3.06014,2.28748,97.4165,85.9135,87.5721,3.30245,9.227010568266266,True,True,0.073,0.179,0.092,0.149,0.6,0.034,34.2,5.72203,75.0,92.0,74.0,171.0,0.433,25.0,98.0,49.0,105.0,0.4667,25.0,66.0,0.3788,105.0,66.0,98.0,269.0,0.3903345724907063,0.2453531598513011,0.3643122676579926,0.5714285714285714,0.72,1.0,42.49733191035219,49.81856990394877,55.85912486659552,74.23692636072572,39.90394877267876,84.08751334044824,81.49717514124293,63.607257203842046,60.0,False,False,False,True,True,True,False,False,False,52.05442902881537,65.57188466617224,66.11724219018504,score_stretch_big,66.11724219018504,Stretch Big,False,,,,0.17641362227525492,0.12204617909875505,0.40675398231061144,0.6258825773843094,0.33024113429172364,-0.18179211367519568,0.7232765288472309,1.1023209399779599,0.16602117391131876,0.05073202040045012
69506,Erin Woodson,Abilene Christian,WAC,WAC,G/F,JR,3,False,,70.0,32.0,33.5943,14.0857,6.4286,2.4286,1.9143,0.4286,2.2857000231139364,0.4297994269340974,0.302,0.769,0.5454,0.49,0.215,0.3982808022922636,1.06251913,16.77153564741638,7.654393751320909,2.8916810292222195,2.2793152409783803,0.5103246681728746,2.7215331447465037,15.3,17.6,DRB_%,4.58723,3.75538,107.593,86.6682,88.3413,3.57204,9.019722095712666,True,True,0.057999999999999996,0.17600000000000002,0.153,0.18600000000000003,0.015,0.028999999999999998,38.4,7.31565,103.0,134.0,108.0,210.0,0.514,42.0,139.0,103.0,189.0,0.545,5.0,21.0,0.2381,189.0,21.0,139.0,349.0,0.5415472779369628,0.0601719197707736,0.3982808022922636,0.3980582524271844,0.0,0.8809523809523809,74.83457844183565,66.01921024546425,60.042689434364995,74.91995731056564,72.14514407684098,83.09498399146212,80.1789077212806,43.23372465314835,60.0,True,False,True,True,True,True,False,False,False,70.60085378868729,68.12837882652292,64.56434467497543,score_pg_combo,70.60085378868729,PG / Combo Guard,False,,,,0.38831641729363114,-1.2800875483803886,0.6860522807404162,0.3469470017968185,0.15719511116676982,-0.28110271968043216,0.3331931814174644,0.7321359103058827,0.0856274079568606,0.3761853874445622
72399,Jazmyn Stone,Abilene Christian,WAC,WAC,G,JR,3,False,,66.0,32.0,13.4143,3.1429,1.2571,1.5429,0.6,0.0286,1.6570999903843306,0.28205128205128205,0.294,0.733,0.4448,0.34600000000000003,0.191,0.4358974358974359,0.93108443,9.371789806400631,3.74853700901277,4.600761873523031,1.7891354748291002,0.08528212430018711,4.941293963559278,18.2,6.9,DRB_%,-5.77336,-0.174443,72.4348,91.7289,93.4997,1.14409,7.134578397680088,True,True,0.039,0.069,0.182,0.391,0.3,0.024,57.7,4.61825,33.0,45.0,12.0,44.0,0.273,10.0,34.0,10.0,37.0,0.2703,2.0,7.0,0.2857,37.0,7.0,34.0,78.0,0.4743589743589743,0.0897435897435897,0.4358974358974359,0.3,0.0,0.9,83.2443970117396,62.56136606189968,65.47491995731056,65.89114194236927,19.722518676627534,15.955176093916757,28.948863636363637,8.32443970117396,60.0,True,False,False,False,False,False,False,False,False,66.61953041622198,48.13609985931891,39.68839441641603,score_pg_combo,66.61953041622198,PG / Combo Guard,False,,,,-1.4626639510305184,-1.524332944482218,-1.0378838701601967,-0.44294250949641084,1.0498900369560982,0.09176553994535343,-0.665983277547723,-0.5458411943593754,0.28902358519445287,0.4948499687972856
80496,Jordyn Coleman,Abilene Christian,WAC,WAC,F/C,JR,3,False,,74.0,20.0,4.3435,1.3913,1.2174,0.1739,0.087,0.3478,0.26090000148528464,0.38095238095238093,0.0,0.333,0.38079999999999997,0.381,0.17300000000000001,0.0,0.6665389,12.812708645101877,11.211235179003108,1.6014734660987682,0.8011971912052491,3.2029469321975363,2.402670670982246,8.2,25.4,DRB_%,-0.145891,0.0338731,78.7904,81.9213,83.9661,0.447859,8.912305744215494,True,True,0.10400000000000001,0.254,0.08199999999999999,0.179,0.10800000000000001,0.015,14.3,0.0,1.0,3.0,8.0,21.0,0.381,0.0,0.0,7.0,16.0,0.4375,1.0,4.0,0.25,16.0,4.0,0.0,20.0,0.8,0.2,0.0,0.5714285714285714,0.0,0.0,35.77374599786553,12.742796157950906,6.680896478121665,44.56776947705443,28.207043756670224,97.2358591248666,90.16817593790427,84.16221985058698,60.0,False,False,False,False,False,True,False,False,False,27.805763073639273,46.673718523100206,56.098478395031904,score_stretch_big,56.098478395031904,Stretch Big,False,,,,2.892549554195831,1.2103450155218447,-0.607232243723776,1.4878984297170692,-1.5722120794785512,0.01634081870888303,-0.25328447886339117,0.11272507839553879,-0.7871345883852534,0.06652877696021335
69631,Meredith Mayes,Abilene Christian,WAC,WAC,F/C,JR,3,False,,75.0,13.0,28.3625,15.1875,7.875,1.5625,2.5,0.75,1.4375000023,0.6532258064516129,1.0,0.712,0.6808,0.657,0.212,0.008064516129032258,1.08695652,21.419127368884972,11.10621419127369,2.203613926840018,3.525782282944028,1.0577346848832085,2.027324815936536,12.9,19.8,DRB_%,11.1643,5.40516,128.54,81.6429,82.8132,3.65459,10.86765433772926,True,True,0.134,0.198,0.129,0.142,0.03,0.045,41.9,0.150723,37.0,52.0,80.0,123.0,0.65,1.0,1.0,77.0,119.0,0.6471,3.0,4.0,0.75,119.0,4.0,1.0,124.0,0.9596774193548387,0.032258064516129,0.0080645161290322,0.5844155844155844,1.0,1.0,64.17289220917823,99.57310565635005,15.005336179295625,76.28601921024546,98.14300960512273,89.49839914621131,69.98706338939198,91.71824973319104,60.0,False,True,True,True,True,True,False,False,False,69.6974386339381,69.50519052162015,73.71970492930424,score_stretch_big,73.71970492930424,Stretch Big,False,,,,2.4258848602228817,-1.60157066395093,1.1226848896391928,1.2541003083004267,0.41994446025734106,-0.04430431426992165,1.7279602454591205,0.5205398099612032,-0.25176491457551947,-0.5481977997138249
80885,Molly Daugherty,Abilene Christian,WAC,WAC,G/F,FR,1,False,,70.0,20.0,6.0304,1.7391,0.5652,0.3478,0.2174,0.0,0.5217000443445037,0.2857142857142857,0.188,0.4,0.3664,0.35700000000000004,0.168,0.7619047619047619,0.66666661,11.535553197134519,3.7490050411249674,2.306977978243566,1.442027062881401,0.0,3.4604672615050656,2.2,11.7,DRB_%,-9.68592,-0.305116,56.0106,92.4505,95.7658,0.339039,4.991808171928893,True,True,0.013000000000000001,0.11699999999999999,0.022000000000000002,0.318,0.0,0.013000000000000001,23.8,10.6747,2.0,5.0,3.0,5.0,0.6,3.0,16.0,3.0,4.0,0.75,0.0,1.0,0.0,4.0,1.0,16.0,21.0,0.1904761904761904,0.0476190476190476,0.7619047619047619,0.6666666666666666,0.0,1.0,8.836712913553896,35.24012806830309,93.44717182497332,44.898612593383135,21.85699039487727,51.46211312700106,35.59322033898305,43.23372465314835,60.0,False,False,False,False,False,False,False,False,False,35.32337246531483,49.23559683808766,47.041359911726936,score_wing_2_4,49.23559683808766,2-4 Wing,False,,,,-1.2293113134520206,0.22656055118548352,-0.02456283537293838,-0.6101913102825095,-0.4512922535023994,-0.4502149919557284,-0.13194828175655146,0.2792194034753217,0.7106553170962208,1.0079914091618931
